date,asin,sku,impressions,clicks,ad_spend,ad_orders,ad_revenue,campaign_type,match_type
2025-08-15,B0673178,SKU-0001,1471,15,11.14,2,154.8,Sponsored Brands,Phrase
2025-08-15,B0494532,SKU-0002,1364,16,11.53,1,23.96,Sponsored Products,Phrase
2025-08-15,B0466098,SKU-0003,1020,13,8.86,1,17.53,Sponsored Brands,Phrase
2025-08-15,B0287544,SKU-0004,1141,15,8.66,1,109.24,Sponsored Products,Exact
2025-08-15,B0444234,SKU-0005,1740,18,8.52,2,181.68,Sponsored Brands,Exact
2025-08-15,B0474559,SKU-0006,3125,44,20.23,4,369.03,Sponsored Brands,Exact
2025-08-15,B0760123,SKU-0007,1977,34,31.2,2,143.42,Sponsored Products,Exact
2025-08-15,B0300550,SKU-0008,2435,41,25.43,5,160.77,Sponsored Products,Exact
2025-08-15,B0565132,SKU-0009,1473,15,12.51,1,135.4,Sponsored Products,Exact
2025-08-15,B0138771,SKU-0010,1582,21,13.84,1,80.29,Sponsored Products,Exact
2025-08-15,B0165870,SKU-0011,1452,23,20.29,2,78.52,Sponsored Products,Phrase
2025-08-15,B0661462,SKU-0012,1090,13,11.95,2,86.77,Sponsored Products,Phrase
2025-08-15,B0241131,SKU-0013,953,15,9.85,1,122.68,Sponsored Brands,Broad
2025-08-15,B0934569,SKU-0014,1821,29,12.47,4,362.84,Sponsored Brands,Broad
2025-08-15,B0916675,SKU-0015,417,7,4.27,0,0.0,Sponsored Products,Exact
2025-08-16,B0673178,SKU-0001,2266,27,18.69,2,161.55,Sponsored Products,Exact
2025-08-16,B0494532,SKU-0002,1917,27,18.94,3,67.2,Sponsored Products,Exact
2025-08-16,B0466098,SKU-0003,504,4,3.04,0,0.0,Sponsored Products,Exact
2025-08-16,B0287544,SKU-0004,2008,28,14.52,2,227.66,Sponsored Brands,Broad
2025-08-16,B0444234,SKU-0005,2453,20,10.69,1,85.44,Sponsored Products,Broad
2025-08-16,B0474559,SKU-0006,1333,14,11.39,1,91.6,Sponsored Products,Exact
2025-08-16,B0760123,SKU-0007,1700,19,12.29,1,63.71,Sponsored Brands,Exact
2025-08-16,B0300550,SKU-0008,2240,29,18.74,2,58.24,Sponsored Brands,Exact
2025-08-16,B0565132,SKU-0009,1732,14,7.92,1,123.94,Sponsored Products,Broad
2025-08-16,B0138771,SKU-0010,2017,39,25.67,4,319.83,Sponsored Products,Exact
2025-08-16,B0165870,SKU-0011,1555,21,14.14,1,35.66,Sponsored Products,Broad
2025-08-16,B0661462,SKU-0012,1219,14,10.75,1,44.73,Sponsored Products,Exact
2025-08-16,B0241131,SKU-0013,2153,38,35.46,4,504.24,Sponsored Brands,Phrase
2025-08-16,B0934569,SKU-0014,2055,40,31.83,5,463.87,Sponsored Brands,Exact
2025-08-16,B0916675,SKU-0015,2137,20,9.77,2,77.14,Sponsored Brands,Broad
2025-08-17,B0673178,SKU-0001,1341,15,13.04,1,79.61,Sponsored Products,Broad
2025-08-17,B0494532,SKU-0002,1291,25,21.35,3,73.77,Sponsored Products,Exact
2025-08-17,B0466098,SKU-0003,1263,16,9.75,1,18.28,Sponsored Brands,Phrase
2025-08-17,B0287544,SKU-0004,1151,21,8.01,2,232.95,Sponsored Products,Broad
2025-08-17,B0444234,SKU-0005,2484,36,14.61,2,184.04,Sponsored Products,Phrase
2025-08-17,B0474559,SKU-0006,1514,14,9.36,1,103.04,Sponsored Products,Phrase
2025-08-17,B0760123,SKU-0007,2716,40,32.19,6,414.34,Sponsored Products,Phrase
2025-08-17,B0300550,SKU-0008,1329,14,11.34,1,30.67,Sponsored Products,Exact
2025-08-17,B0565132,SKU-0009,1840,21,19.07,1,128.43,Sponsored Brands,Broad
2025-08-17,B0138771,SKU-0010,2243,42,22.83,3,255.8,Sponsored Brands,Broad
2025-08-17,B0165870,SKU-0011,3124,41,20.67,3,109.74,Sponsored Products,Broad
2025-08-17,B0661462,SKU-0012,1274,11,7.05,0,0.0,Sponsored Products,Exact
2025-08-17,B0241131,SKU-0013,2702,48,23.07,2,242.62,Sponsored Brands,Phrase
2025-08-17,B0934569,SKU-0014,2211,20,17.04,2,200.71,Sponsored Products,Exact
2025-08-17,B0916675,SKU-0015,2166,23,20.8,1,39.49,Sponsored Brands,Phrase
2025-08-18,B0673178,SKU-0001,1190,11,4.19,1,82.66,Sponsored Products,Exact
2025-08-18,B0494532,SKU-0002,651,12,6.34,1,23.14,Sponsored Products,Phrase
2025-08-18,B0466098,SKU-0003,1801,17,12.83,1,18.79,Sponsored Products,Exact
2025-08-18,B0287544,SKU-0004,2195,41,31.56,3,364.24,Sponsored Products,Exact
2025-08-18,B0444234,SKU-0005,1868,32,16.84,1,85.02,Sponsored Products,Phrase
2025-08-18,B0474559,SKU-0006,2751,53,46.42,2,200.17,Sponsored Brands,Exact
2025-08-18,B0760123,SKU-0007,2123,28,11.35,3,187.97,Sponsored Brands,Exact
2025-08-18,B0300550,SKU-0008,1847,34,17.82,2,63.42,Sponsored Brands,Broad
2025-08-18,B0565132,SKU-0009,2323,35,20.93,2,250.66,Sponsored Products,Broad
2025-08-18,B0138771,SKU-0010,1050,12,10.84,1,88.83,Sponsored Brands,Broad
2025-08-18,B0165870,SKU-0011,381,6,3.0,0,0.0,Sponsored Brands,Exact
2025-08-18,B0661462,SKU-0012,1079,11,3.87,1,47.58,Sponsored Products,Exact
2025-08-18,B0241131,SKU-0013,2021,36,29.75,2,249.55,Sponsored Products,Broad
2025-08-18,B0934569,SKU-0014,1617,13,8.68,0,0.0,Sponsored Brands,Exact
2025-08-18,B0916675,SKU-0015,2205,22,8.77,1,40.72,Sponsored Products,Exact
2025-08-19,B0673178,SKU-0001,2609,41,28.53,5,383.38,Sponsored Products,Exact
2025-08-19,B0494532,SKU-0002,1749,28,19.56,2,47.6,Sponsored Products,Exact
2025-08-19,B0466098,SKU-0003,730,11,6.92,1,18.22,Sponsored Brands,Broad
2025-08-19,B0287544,SKU-0004,672,12,7.91,0,0.0,Sponsored Brands,Exact
2025-08-19,B0444234,SKU-0005,1069,12,9.27,1,86.7,Sponsored Products,Broad
2025-08-19,B0474559,SKU-0006,1543,27,24.59,2,182.75,Sponsored Products,Phrase
2025-08-19,B0760123,SKU-0007,1766,18,6.46,1,67.78,Sponsored Brands,Exact
2025-08-19,B0300550,SKU-0008,1703,28,23.89,2,56.48,Sponsored Products,Exact
2025-08-19,B0565132,SKU-0009,2561,31,27.01,4,574.5,Sponsored Brands,Broad
2025-08-19,B0138771,SKU-0010,1250,21,13.9,2,157.45,Sponsored Brands,Broad
2025-08-19,B0165870,SKU-0011,312,6,2.43,0,0.0,Sponsored Brands,Exact
2025-08-19,B0661462,SKU-0012,2438,25,12.08,3,131.02,Sponsored Brands,Phrase
2025-08-19,B0241131,SKU-0013,3293,43,37.53,2,262.09,Sponsored Brands,Broad
2025-08-19,B0934569,SKU-0014,2751,48,28.26,4,409.42,Sponsored Products,Broad
2025-08-19,B0916675,SKU-0015,1098,17,10.86,1,43.85,Sponsored Products,Exact
2025-08-20,B0673178,SKU-0001,1704,33,16.7,2,150.58,Sponsored Products,Broad
2025-08-20,B0494532,SKU-0002,1738,33,12.49,5,113.22,Sponsored Products,Phrase
2025-08-20,B0466098,SKU-0003,2542,26,9.5,2,37.23,Sponsored Products,Exact
2025-08-20,B0287544,SKU-0004,1401,19,15.8,1,112.57,Sponsored Products,Exact
2025-08-20,B0444234,SKU-0005,1661,23,20.19,3,271.5,Sponsored Products,Exact
2025-08-20,B0474559,SKU-0006,2151,22,10.5,3,269.25,Sponsored Products,Exact
2025-08-20,B0760123,SKU-0007,1896,21,11.68,2,131.57,Sponsored Brands,Phrase
2025-08-20,B0300550,SKU-0008,1802,34,12.32,1,30.45,Sponsored Brands,Exact
2025-08-20,B0565132,SKU-0009,2691,51,45.41,2,268.74,Sponsored Products,Exact
2025-08-20,B0138771,SKU-0010,2494,36,28.03,5,389.71,Sponsored Products,Broad
2025-08-20,B0165870,SKU-0011,1619,17,14.81,2,76.19,Sponsored Products,Broad
2025-08-20,B0661462,SKU-0012,1740,28,20.0,4,173.81,Sponsored Products,Phrase
2025-08-20,B0241131,SKU-0013,1078,20,18.38,3,383.7,Sponsored Products,Phrase
2025-08-20,B0934569,SKU-0014,1013,16,10.49,2,195.64,Sponsored Products,Exact
2025-08-20,B0916675,SKU-0015,836,11,6.27,0,0.0,Sponsored Products,Exact
