week_start,asin,sku,on_hand_units,in_transit_units,supplier_lead_days,inventory_status
2025-08-18,B0673178,SKU-0001,167,36,23,In Stock
2025-08-18,B0494532,SKU-0002,235,30,25,In Stock
2025-08-18,B0466098,SKU-0003,28,15,18,Low
2025-08-18,B0287544,SKU-0004,275,47,15,In Stock
2025-08-18,B0444234,SKU-0005,155,68,27,In Stock
2025-08-18,B0474559,SKU-0006,246,107,19,In Stock
2025-08-18,B0760123,SKU-0007,263,5,13,In Stock
2025-08-18,B0300550,SKU-0008,184,104,24,In Stock
2025-08-18,B0565132,SKU-0009,146,84,12,In Stock
2025-08-18,B0138771,SKU-0010,132,49,10,In Stock
2025-08-18,B0165870,SKU-0011,123,16,21,In Stock
2025-08-18,B0661462,SKU-0012,202,59,26,In Stock
2025-08-18,B0241131,SKU-0013,84,32,26,In Stock
2025-08-18,B0934569,SKU-0014,226,66,28,In Stock
2025-08-18,B0916675,SKU-0015,157,14,15,In Stock
2025-08-25,B0673178,SKU-0001,158,49,14,In Stock
2025-08-25,B0494532,SKU-0002,142,39,28,In Stock
2025-08-25,B0466098,SKU-0003,244,54,20,In Stock
2025-08-25,B0287544,SKU-0004,292,40,20,In Stock
2025-08-25,B0444234,SKU-0005,98,56,27,In Stock
2025-08-25,B0474559,SKU-0006,82,53,14,In Stock
2025-08-25,B0760123,SKU-0007,144,0,18,In Stock
2025-08-25,B0300550,SKU-0008,187,45,26,In Stock
2025-08-25,B0565132,SKU-0009,171,57,12,In Stock
2025-08-25,B0138771,SKU-0010,89,27,25,In Stock
2025-08-25,B0165870,SKU-0011,287,11,12,In Stock
2025-08-25,B0661462,SKU-0012,59,57,28,In Stock
2025-08-25,B0241131,SKU-0013,33,85,20,In Stock
2025-08-25,B0934569,SKU-0014,156,31,20,In Stock
2025-08-25,B0916675,SKU-0015,188,23,14,In Stock
2025-09-01,B0673178,SKU-0001,113,65,13,In Stock
2025-09-01,B0494532,SKU-0002,118,12,20,In Stock
2025-09-01,B0466098,SKU-0003,252,5,15,In Stock
2025-09-01,B0287544,SKU-0004,217,33,12,In Stock
2025-09-01,B0444234,SKU-0005,183,68,26,In Stock
2025-09-01,B0474559,SKU-0006,136,55,27,In Stock
2025-09-01,B0760123,SKU-0007,175,33,24,In Stock
2025-09-01,B0300550,SKU-0008,151,47,21,In Stock
2025-09-01,B0565132,SKU-0009,36,20,22,In Stock
2025-09-01,B0138771,SKU-0010,160,61,13,In Stock
2025-09-01,B0165870,SKU-0011,174,76,22,In Stock
2025-09-01,B0661462,SKU-0012,201,33,13,In Stock
2025-09-01,B0241131,SKU-0013,71,40,20,In Stock
