order_date,asin,sku,units,unit_price,gross_revenue,marketplace_fees,cogs,shipping_cost,market,fulfillment,channel,buy_box_pct
2025-08-15,B0673178,SKU-0001,8,70.11,560.88,90.49,261.99,11.85,CA,FBA,Ads,0.941
2025-08-15,B0494532,SKU-0002,1,24.84,24.84,3.82,10.64,2.54,UK,FBA,Organic,0.84
2025-08-15,B0466098,SKU-0003,7,17.19,120.33,14.66,62.88,7.74,DE,FBA,Ads,0.848
2025-08-15,B0287544,SKU-0004,7,103.19,722.33,101.51,388.77,16.29,US,FBM,Organic,0.762
2025-08-15,B0444234,SKU-0005,11,89.6,985.6,139.68,528.05,20.56,CA,FBM,Ads,0.846
2025-08-15,B0760123,SKU-0007,3,65.84,197.52,29.63,83.3,5.73,DE,FBM,Ads,0.93
2025-08-15,B0300550,SKU-0008,14,30.77,430.78,61.69,217.51,19.49,CA,FBA,Organic,0.941
2025-08-15,B0565132,SKU-0009,7,131.32,919.24,157.2,396.65,11.5,US,FBM,Organic,0.747
2025-08-15,B0138771,SKU-0010,9,81.64,734.76,90.44,368.24,10.78,US,FBA,Ads,0.841
2025-08-15,B0165870,SKU-0011,17,36.76,624.92,98.33,323.94,27.18,US,FBA,Ads,0.883
2025-08-15,B0661462,SKU-0012,4,40.52,162.08,21.81,67.89,6.29,US,FBM,Organic,0.745
2025-08-15,B0241131,SKU-0013,4,114.6,458.4,68.12,213.79,6.52,DE,FBM,Organic,0.85
2025-08-15,B0934569,SKU-0014,9,101.1,909.9,161.55,418.52,10.45,UK,FBA,Organic,0.751
2025-08-15,B0916675,SKU-0015,8,37.78,302.24,37.16,168.98,18.64,US,FBM,Ads,0.912
2025-08-16,B0673178,SKU-0001,11,76.72,843.92,104.77,383.43,18.38,DE,FBM,Organic,0.815
2025-08-16,B0466098,SKU-0003,10,17.04,170.4,22.58,86.91,25.04,US,FBA,Ads,0.901
2025-08-16,B0287544,SKU-0004,13,116.86,1519.18,206.67,638.1,29.16,CA,FBM,Organic,0.861
2025-08-16,B0444234,SKU-0005,10,83.67,836.7,140.19,433.52,17.74,CA,FBM,Ads,0.854
2025-08-16,B0474559,SKU-0006,9,100.09,900.81,150.4,392.82,17.05,UK,FBA,Organic,0.867
2025-08-16,B0760123,SKU-0007,4,62.66,250.64,37.0,132.63,10.29,US,FBA,Ads,0.82
2025-08-16,B0300550,SKU-0008,13,26.79,348.27,54.43,156.47,29.45,CA,FBA,Ads,0.751
2025-08-16,B0565132,SKU-0009,13,127.55,1658.15,263.55,732.48,14.47,DE,FBM,Organic,0.836
2025-08-16,B0138771,SKU-0010,11,84.72,931.92,126.44,390.82,14.9,US,FBM,Ads,0.849
2025-08-16,B0165870,SKU-0011,13,36.15,469.95,78.51,212.19,30.82,US,FBA,Ads,0.737
2025-08-16,B0661462,SKU-0012,10,48.32,483.2,76.14,219.21,17.46,US,FBA,Ads,0.783
2025-08-16,B0241131,SKU-0013,3,123.72,371.16,58.21,164.7,6.56,UK,FBM,Organic,0.937
2025-08-16,B0934569,SKU-0014,6,88.23,529.38,93.79,289.64,10.67,DE,FBM,Organic,0.807
2025-08-16,B0916675,SKU-0015,2,36.93,73.86,10.99,32.06,2.53,CA,FBM,Organic,0.73
2025-08-17,B0673178,SKU-0001,9,81.48,733.32,108.01,312.75,10.16,US,FBA,Ads,0.821
2025-08-17,B0494532,SKU-0002,4,23.6,94.4,14.09,41.99,8.05,UK,FBM,Ads,0.794
2025-08-17,B0287544,SKU-0004,3,103.23,309.69,45.0,131.4,6.95,UK,FBM,Organic,0.915
2025-08-17,B0444234,SKU-0005,12,90.64,1087.68,163.87,468.06,17.01,UK,FBA,Organic,0.919
2025-08-17,B0474559,SKU-0006,5,86.78,433.9,61.18,181.3,7.21,UK,FBM,Organic,0.756
2025-08-17,B0760123,SKU-0007,6,70.76,424.56,63.21,199.01,13.49,UK,FBA,Ads,0.752
2025-08-17,B0300550,SKU-0008,5,30.84,154.2,27.48,84.22,10.62,UK,FBM,Organic,0.88
2025-08-17,B0565132,SKU-0009,5,123.86,619.3,97.91,260.91,7.9,CA,FBA,Organic,0.94
2025-08-17,B0138771,SKU-0010,2,82.83,165.66,28.17,74.04,2.56,US,FBA,Organic,0.884
2025-08-17,B0165870,SKU-0011,9,37.13,334.17,50.5,140.96,16.84,CA,FBA,Ads,0.783
2025-08-17,B0661462,SKU-0012,3,43.19,129.57,16.21,67.5,5.29,UK,FBA,Organic,0.786
2025-08-17,B0241131,SKU-0013,2,111.6,223.2,27.64,113.52,2.29,DE,FBM,Organic,0.805
2025-08-17,B0934569,SKU-0014,18,94.62,1703.16,255.63,781.24,45.39,UK,FBM,Organic,0.78
2025-08-17,B0916675,SKU-0015,8,38.98,311.84,48.62,167.12,19.13,UK,FBM,Ads,0.893
2025-08-18,B0673178,SKU-0001,6,83.34,500.04,70.15,270.7,9.9,US,FBM,Ads,0.952
2025-08-18,B0494532,SKU-0002,9,24.02,216.18,35.81,112.21,16.55,CA,FBA,Organic,0.89
2025-08-18,B0466098,SKU-0003,3,17.74,53.22,8.99,25.27,6.22,DE,FBM,Organic,0.912
2025-08-18,B0287544,SKU-0004,10,106.52,1065.2,145.6,450.23,24.37,DE,FBM,Ads,0.863
2025-08-18,B0444234,SKU-0005,7,90.32,632.24,90.89,295.31,15.72,UK,FBM,Organic,0.895
2025-08-18,B0474559,SKU-0006,14,94.8,1327.2,188.48,534.71,29.29,US,FBM,Ads,0.908
2025-08-18,B0760123,SKU-0007,6,59.78,358.68,48.4,163.41,8.53,DE,FBA,Organic,0.806
2025-08-18,B0300550,SKU-0008,11,28.55,314.05,38.18,163.6,19.03,CA,FBA,Organic,0.86
2025-08-18,B0565132,SKU-0009,9,121.32,1091.88,166.36,443.42,15.18,CA,FBA,Organic,0.928
2025-08-18,B0138771,SKU-0010,16,76.85,1229.6,185.62,599.0,34.94,CA,FBA,Organic,0.788
2025-08-18,B0165870,SKU-0011,7,35.15,246.05,36.16,130.05,13.52,UK,FBM,Organic,0.791
2025-08-18,B0661462,SKU-0012,3,42.6,127.8,22.42,52.12,4.6,US,FBA,Organic,0.96
2025-08-18,B0241131,SKU-0013,3,118.62,355.86,56.26,159.3,5.61,DE,FBA,Ads,0.943
2025-08-18,B0934569,SKU-0014,7,101.07,707.49,85.63,348.16,17.5,CA,FBM,Organic,0.901
2025-08-18,B0916675,SKU-0015,10,39.72,397.2,70.29,176.01,12.63,CA,FBM,Ads,0.792
2025-08-19,B0673178,SKU-0001,6,80.02,480.12,80.32,211.58,6.97,UK,FBM,Organic,0.744
2025-08-19,B0494532,SKU-0002,7,23.25,162.75,27.21,78.08,15.02,UK,FBM,Organic,0.871
2025-08-19,B0466098,SKU-0003,9,17.57,158.13,25.18,82.62,18.12,DE,FBA,Ads,0.957
2025-08-19,B0287544,SKU-0004,10,102.5,1025.0,149.22,511.09,17.44,CA,FBM,Organic,0.774
2025-08-19,B0474559,SKU-0006,8,89.99,719.92,105.68,360.76,15.18,CA,FBM,Organic,0.893
2025-08-19,B0760123,SKU-0007,9,65.08,585.72,78.48,280.76,20.6,US,FBM,Ads,0.862
2025-08-19,B0300550,SKU-0008,1,29.55,29.55,3.97,14.88,1.47,DE,FBM,Organic,0.957
2025-08-19,B0565132,SKU-0009,2,139.11,278.22,47.71,131.19,3.07,CA,FBM,Organic,0.938
2025-08-19,B0138771,SKU-0010,2,85.59,171.18,20.96,85.83,4.58,US,FBA,Ads,0.841
2025-08-19,B0165870,SKU-0011,6,40.46,242.76,34.7,97.83,10.5,DE,FBM,Ads,0.788
2025-08-19,B0661462,SKU-0012,7,44.0,308.0,46.3,166.02,16.55,CA,FBM,Ads,0.872
2025-08-19,B0241131,SKU-0013,3,131.22,393.66,70.52,219.91,3.86,DE,FBM,Ads,0.744
2025-08-19,B0934569,SKU-0014,2,101.69,203.38,35.31,98.56,3.69,CA,FBA,Organic,0.76
2025-08-20,B0673178,SKU-0001,1,73.22,73.22,10.43,33.54,1.66,US,FBA,Organic,0.895
2025-08-20,B0494532,SKU-0002,9,23.37,210.33,30.32,86.3,20.98,UK,FBA,Ads,0.844
2025-08-20,B0466098,SKU-0003,5,17.83,89.15,15.69,47.98,9.48,CA,FBA,Ads,0.855
2025-08-20,B0287544,SKU-0004,4,119.52,478.08,85.63,238.34,10.02,CA,FBM,Ads,0.931
2025-08-20,B0444234,SKU-0005,2,92.96,185.92,31.42,90.27,2.23,US,FBM,Ads,0.756
2025-08-20,B0474559,SKU-0006,14,100.72,1410.08,173.54,568.26,30.05,UK,FBM,Ads,0.958
2025-08-20,B0760123,SKU-0007,14,66.84,935.76,168.12,379.23,15.85,DE,FBM,Ads,0.778
2025-08-20,B0300550,SKU-0008,6,27.41,164.46,21.02,88.26,9.41,UK,FBA,Ads,0.933
2025-08-20,B0565132,SKU-0009,8,134.2,1073.6,162.75,516.98,12.85,CA,FBA,Organic,0.812
2025-08-20,B0138771,SKU-0010,11,86.27,948.97,121.73,408.42,18.62,UK,FBA,Organic,0.836
2025-08-20,B0165870,SKU-0011,8,36.51,292.08,37.22,124.12,16.83,UK,FBA,Ads,0.828
2025-08-20,B0661462,SKU-0012,12,46.62,559.44,93.17,310.05,26.97,UK,FBM,Ads,0.945
2025-08-20,B0241131,SKU-0013,6,116.26,697.56,114.27,359.54,8.02,US,FBM,Ads,0.799
2025-08-20,B0934569,SKU-0014,6,95.64,573.84,87.27,305.86,13.08,US,FBA,Organic,0.75
2025-08-20,B0916675,SKU-0015,6,40.76,244.56,39.3,125.38,6.68,US,FBA,Organic,0.842
2025-08-21,B0673178,SKU-0001,2,80.48,160.96,22.19,76.65,2.94,CA,FBM,Organic,0.838
2025-08-21,B0494532,SKU-0002,8,24.28,194.24,31.45,101.69,10.65,US,FBM,Organic,0.877
2025-08-21,B0466098,SKU-0003,14,17.44,244.16,43.6,109.87,32.82,CA,FBM,Organic,0.821
2025-08-21,B0287544,SKU-0004,8,100.97,807.76,120.05,394.73,11.64,DE,FBM,Ads,0.731
2025-08-21,B0444234,SKU-0005,4,97.04,388.16,55.85,163.99,10.26,DE,FBA,Organic,0.727
2025-08-21,B0474559,SKU-0006,3,89.72,269.16,34.69,138.46,6.77,US,FBA,Ads,0.931
2025-08-21,B0760123,SKU-0007,2,69.55,139.1,24.43,60.66,4.32,US,FBM,Ads,0.921
2025-08-21,B0300550,SKU-0008,9,28.93,260.37,32.22,107.38,12.7,US,FBM,Organic,0.748
2025-08-21,B0565132,SKU-0009,14,138.7,1941.8,283.09,802.76,28.94,CA,FBA,Ads,0.776
2025-08-21,B0138771,SKU-0010,9,79.41,714.69,114.18,362.3,21.34,UK,FBA,Ads,0.817
2025-08-21,B0165870,SKU-0011,12,39.5,474.0,68.57,247.56,21.16,CA,FBM,Organic,0.948
2025-08-21,B0661462,SKU-0012,7,42.81,299.67,43.83,140.21,15.09,CA,FBA,Ads,0.916
2025-08-21,B0241131,SKU-0013,6,126.53,759.18,113.0,403.02,10.6,CA,FBA,Organic,0.901
2025-08-21,B0934569,SKU-0014,9,100.88,907.92,153.08,475.8,18.96,CA,FBM,Ads,0.762
2025-08-21,B0916675,SKU-0015,9,37.5,337.5,41.08,151.46,22.78,CA,FBM,Ads,0.931
2025-08-22,B0673178,SKU-0001,9,72.95,656.55,103.83,279.24,15.84,UK,FBM,Organic,0.929
2025-08-22,B0494532,SKU-0002,1,23.62,23.62,3.6,9.96,1.5,DE,FBA,Ads,0.805
2025-08-22,B0466098,SKU-0003,6,16.04,96.24,12.27,44.36,9.23,US,FBM,Ads,0.774
2025-08-22,B0287544,SKU-0004,2,109.11,218.22,29.69,110.85,5.03,US,FBM,Organic,0.94
2025-08-22,B0444234,SKU-0005,4,86.48,345.92,59.78,165.99,8.22,DE,FBM,Ads,0.932
2025-08-22,B0474559,SKU-0006,5,90.13,450.65,64.71,221.08,8.33,UK,FBM,Ads,0.899
2025-08-22,B0760123,SKU-0007,6,65.22,391.32,53.54,201.21,8.89,DE,FBM,Organic,0.847
2025-08-22,B0300550,SKU-0008,3,27.52,82.56,10.18,36.62,3.46,UK,FBA,Ads,0.745
2025-08-22,B0565132,SKU-0009,3,134.59,403.77,53.18,207.61,5.19,US,FBA,Ads,0.953
2025-08-22,B0138771,SKU-0010,7,75.51,528.57,76.6,269.75,10.8,US,FBA,Ads,0.746
2025-08-22,B0165870,SKU-0011,14,33.96,475.44,66.72,204.93,20.46,DE,FBM,Ads,0.887
2025-08-22,B0661462,SKU-0012,11,41.74,459.14,74.66,256.77,14.89,DE,FBM,Ads,0.728
2025-08-22,B0241131,SKU-0013,4,121.61,486.44,68.84,223.31,8.86,US,FBM,Ads,0.83
2025-08-22,B0934569,SKU-0014,14,97.15,1360.1,238.99,736.57,35.32,UK,FBA,Ads,0.779
2025-08-22,B0916675,SKU-0015,8,40.59,324.72,39.42,144.13,14.41,CA,FBM,Ads,0.722
2025-08-23,B0673178,SKU-0001,10,74.84,748.4,115.14,386.09,25.32,US,FBA,Organic,0.943
2025-08-23,B0494532,SKU-0002,6,22.87,137.22,24.64,71.62,10.76,US,FBA,Ads,0.906
2025-08-23,B0466098,SKU-0003,9,17.88,160.92,25.17,81.78,10.81,US,FBA,Ads,0.951
2025-08-23,B0287544,SKU-0004,7,104.96,734.72,106.41,390.7,12.45,US,FBM,Organic,0.765
2025-08-23,B0444234,SKU-0005,9,90.34,813.06,123.37,369.94,15.11,UK,FBM,Organic,0.901
2025-08-23,B0474559,SKU-0006,8,86.02,688.16,85.49,305.97,18.58,CA,FBA,Ads,0.895
2025-08-23,B0300550,SKU-0008,4,31.11,124.44,21.04,67.29,7.59,US,FBM,Organic,0.899
2025-08-23,B0565132,SKU-0009,15,126.44,1896.6,332.96,931.4,26.25,DE,FBM,Ads,0.819
2025-08-23,B0138771,SKU-0010,2,84.97,169.94,23.01,79.83,4.15,DE,FBM,Ads,0.846
2025-08-23,B0165870,SKU-0011,14,37.38,523.32,71.2,219.12,25.51,US,FBA,Ads,0.818
2025-08-23,B0661462,SKU-0012,10,41.66,416.6,52.46,171.39,14.72,US,FBA,Organic,0.746
