asin,sku,product_name,category,brand,list_price
B0673178,SKU-0001,Product 1 Lite,Electronics,BlueHarbor,80.69
B0494532,SKU-0002,Product 2 Lite,Kitchen,NorthPeak,24.17
B0466098,SKU-0003,Product 3 Pro,Tools,BlueHarbor,18.14
B0287544,SKU-0004,Product 4 Lite,Kitchen,NorthPeak,116.58
B0444234,SKU-0005,Product 5 Lite,Beauty,CedarCo,93.41
B0474559,SKU-0006,Product 6 Pro,Electronics,SableWorks,98.48
B0760123,SKU-0007,Product 7 Pro,Electronics,BlueHarbor,69.36
B0300550,SKU-0008,Product 8 Pro,Home,CedarCo,30.86
B0565132,SKU-0009,Product 9 Max,Beauty,NorthPeak,137.59
B0138771,SKU-0010,Product 10 Pro,Home,NorthPeak,85.83
B0165870,SKU-0011,Product 11 Pro,Kitchen,CedarCo,39.35
B0661462,SKU-0012,Product 12 Lite,Beauty,BlueHarbor,47.08
B0241131,SKU-0013,Product 13 Max,Home,NorthPeak,128.54
B0934569,SKU-0014,Product 14 Pro,Home,CedarCo,99.31
B0916675,SKU-0015,Product 15 Pro,Tools,BlueHarbor,42.69
