return_date,asin,sku,return_units,return_reason,market
2025-08-26,B0287544,SKU-0004,1,Not as described,CA
2025-10-14,B0494532,SKU-0002,1,Damaged,DE
2025-12-18,B0165870,SKU-0011,1,Damaged,CA
2025-12-09,B0661462,SKU-0012,1,Damaged,UK
2026-02-07,B0287544,SKU-0004,1,Defective,CA
2025-10-07,B0916675,SKU-0015,1,Not as described,DE
2025-08-16,B0241131,SKU-0013,1,Wrong item,UK
2025-09-16,B0916675,SKU-0015,2,Defective,DE
2025-11-07,B0444234,SKU-0005,2,Damaged,UK
2025-12-10,B0444234,SKU-0005,2,Not as described,UK
2026-01-25,B0760123,SKU-0007,2,Defective,CA
2025-11-18,B0241131,SKU-0013,2,Damaged,UK
2025-10-13,B0466098,SKU-0003,1,Damaged,CA
2025-08-15,B0494532,SKU-0002,1,Defective,UK
2025-11-11,B0661462,SKU-0012,1,Wrong item,CA
2025-12-18,B0287544,SKU-0004,1,Defective,CA
2026-02-10,B0466098,SKU-0003,2,Damaged,CA
2026-01-14,B0165870,SKU-0011,1,Damaged,UK
2026-01-03,B0673178,SKU-0001,3,Not as described,CA
2025-10-19,B0165870,SKU-0011,1,Damaged,UK
2025-10-07,B0466098,SKU-0003,1,Not as described,CA
2026-01-13,B0165870,SKU-0011,1,Damaged,CA
2026-02-04,B0494532,SKU-0002,2,Wrong item,UK
2026-01-13,B0241131,SKU-0013,2,Not as described,UK
2025-12-07,B0494532,SKU-0002,2,Wrong item,US
2025-11-24,B0165870,SKU-0011,1,Wrong item,DE
2025-09-15,B0673178,SKU-0001,1,Not as described,DE
2026-01-10,B0565132,SKU-0009,2,Not as described,UK
2025-12-18,B0241131,SKU-0013,2,Defective,US
2026-01-08,B0444234,SKU-0005,1,Wrong item,CA
2025-11-06,B0300550,SKU-0008,2,Defective,US
2025-09-26,B0673178,SKU-0001,2,Defective,US
2025-08-20,B0760123,SKU-0007,2,Not as described,DE
2026-01-27,B0673178,SKU-0001,2,Damaged,UK
2025-09-12,B0494532,SKU-0002,1,Damaged,CA
