order_id,product_id,quantity,unit_price,line_revenue
200000,P0011,2,67.76,135.52
200001,P0022,2,63.05,126.1
200002,P0040,2,75.24,150.48
200002,P0023,2,65.31,130.62
200002,P0009,2,64.08,128.16
200003,P0039,2,78.64,157.28
200003,P0021,1,29.17,29.17
200004,P0029,1,50.87,50.87
200004,P0022,2,67.06,134.12
200004,P0015,1,54.78,54.78
200005,P0040,1,78.65,78.65
200006,P0025,2,34.54,69.08
200006,P0016,1,10.69,10.69
200006,P0019,2,55.93,111.86
200007,P0020,2,48.69,97.38
200007,P0022,1,64.78,64.78
200008,P0026,1,13.73,13.73
200008,P0004,2,26.42,52.84
200008,P0006,1,42.29,42.29
200009,P0013,1,55.8,55.8
200009,P0001,2,29.86,59.72
200010,P0013,2,55.22,110.44
200010,P0037,1,28.43,28.43
200011,P0030,2,74.9,149.8
200012,P0037,2,31.14,62.28
200012,P0009,1,64.08,64.08
200012,P0019,1,53.63,53.63
200013,P0014,1,71.54,71.54
200013,P0015,1,57.65,57.65
200013,P0030,1,67.19,67.19
200014,P0013,2,58.34,116.68
200014,P0037,1,29.45,29.45
200015,P0035,2,48.09,96.18
200015,P0017,2,10.38,20.76
200015,P0016,2,10.38,20.76
200016,P0020,2,49.82,99.64
200016,P0035,2,54.44,108.88
200016,P0017,1,8.74,8.74
200017,P0026,2,12.0,24.0
200018,P0029,1,51.66,51.66
200018,P0009,2,66.18,132.36
200019,P0024,2,43.42,86.84
200019,P0029,1,50.09,50.09
200019,P0003,1,50.71,50.71
200020,P0035,1,56.7,56.7
200021,P0016,2,9.61,19.22
200022,P0029,2,48.23,96.46
200023,P0034,2,43.93,87.86
200024,P0037,2,29.0,58.0
200024,P0014,1,70.75,70.75
200024,P0013,1,56.57,56.57
200025,P0013,1,58.02,58.02
200025,P0034,2,46.8,93.6
200026,P0011,1,70.59,70.59
200027,P0019,1,48.11,48.11
200028,P0033,1,17.51,17.51
200028,P0020,2,45.25,90.5
200029,P0034,1,46.75,46.75
200029,P0038,2,53.42,106.84
200030,P0006,1,48.53,48.53
200030,P0012,1,48.25,48.25
200030,P0007,1,23.31,23.31
200031,P0034,2,41.66,83.32
200031,P0039,1,71.61,71.61
200031,P0021,2,29.88,59.76
200032,P0019,2,48.57,97.14
200032,P0024,1,44.04,44.04
200033,P0037,1,29.77,29.77
200034,P0009,2,57.28,114.56
200035,P0005,1,48.21,48.21
200035,P0019,1,56.32,56.32
200036,P0009,2,59.44,118.88
200036,P0030,1,70.97,70.97
200037,P0001,2,28.8,57.6
200038,P0016,1,10.09,10.09
200038,P0031,1,22.34,22.34
200039,P0013,2,47.45,94.9
200040,P0005,2,40.43,80.86
200041,P0001,1,33.92,33.92
200042,P0011,2,71.67,143.34
200042,P0003,2,51.4,102.8
200042,P0005,2,41.29,82.58
200043,P0018,1,43.51,43.51
200044,P0028,1,18.31,18.31
200044,P0006,2,44.57,89.14
200045,P0033,1,19.2,19.2
200045,P0013,1,53.27,53.27
200046,P0040,2,66.51,133.02
200046,P0021,1,26.74,26.74
200046,P0010,1,69.09,69.09
200047,P0001,1,33.14,33.14
200047,P0026,2,13.51,27.02
200047,P0024,2,51.84,103.68
200048,P0027,2,33.06,66.12
200049,P0007,1,26.8,26.8
200049,P0018,2,47.98,95.96
200049,P0008,1,47.76,47.76
200050,P0011,2,83.33,166.66
200050,P0001,2,29.26,58.52
200050,P0037,1,32.8,32.8
200051,P0018,2,48.95,97.9
200051,P0003,1,49.01,49.01
200052,P0029,1,55.8,55.8
200052,P0014,2,70.32,140.64
200052,P0033,2,18.86,37.72
200053,P0016,1,10.64,10.64
200053,P0024,2,45.58,91.16
200054,P0033,2,19.05,38.1
200054,P0033,2,18.4,36.8
200054,P0036,1,24.62,24.62
200055,P0015,2,53.41,106.82
200055,P0022,2,56.16,112.32
200055,P0004,2,25.08,50.16
200056,P0013,2,50.46,100.92
200056,P0018,1,42.55,42.55
200056,P0028,2,20.07,40.14
200057,P0039,1,72.87,72.87
200057,P0019,2,55.13,110.26
200058,P0032,1,56.51,56.51
200058,P0005,1,40.15,40.15
200059,P0031,1,25.4,25.4
200060,P0010,2,62.65,125.3
200060,P0019,2,55.67,111.34
200060,P0013,1,49.33,49.33
200061,P0022,1,65.91,65.91
200061,P0009,1,60.26,60.26
200061,P0038,1,52.13,52.13
200062,P0031,1,26.22,26.22
200062,P0015,2,61.16,122.32
200062,P0028,2,19.98,39.96
200063,P0016,2,8.91,17.82
200063,P0027,1,34.6,34.6
200063,P0003,1,46.85,46.85
200064,P0008,1,52.46,52.46
200064,P0021,2,30.39,60.78
200064,P0020,2,47.61,95.22
200065,P0040,1,80.93,80.93
200065,P0030,2,72.74,145.48
200065,P0040,1,76.83,76.83
200066,P0020,2,47.94,95.88
200066,P0039,2,73.57,147.14
200066,P0013,2,51.91,103.82
200067,P0005,2,39.86,79.72
200067,P0013,1,48.16,48.16
200068,P0027,1,32.53,32.53
200069,P0039,2,79.87,159.74
200070,P0025,1,37.67,37.67
200071,P0027,2,30.93,61.86
200072,P0036,2,28.12,56.24
200072,P0013,1,56.88,56.88
200073,P0022,1,58.39,58.39
200073,P0004,1,25.43,25.43
200073,P0033,2,16.38,32.76
200074,P0010,2,65.23,130.46
200075,P0024,2,49.7,99.4
200075,P0030,1,79.05,79.05
200075,P0007,2,22.33,44.66
200076,P0035,1,47.1,47.1
200076,P0021,2,29.8,59.6
200077,P0008,2,49.26,98.52
200077,P0014,1,79.22,79.22
200077,P0033,2,18.24,36.48
200078,P0035,1,52.77,52.77
200078,P0002,2,44.74,89.48
200078,P0029,2,55.92,111.84
200079,P0026,1,12.26,12.26
200079,P0027,2,34.89,69.78
200080,P0031,1,22.72,22.72
