order_id,order_date,customer_id,channel,device,country,subtotal,shipping,discount,order_total,payment_method
200000,2025-09-26,10555,Organic Search,Mobile,DE,188.86,0.0,0.0,188.86,Shop Pay
200001,2026-01-31,14041,Paid Search,Desktop,DE,104.97,0.0,0.0,104.97,Credit Card
200002,2025-08-30,13967,Direct,Desktop,AU,227.34,0.0,15.49,211.85,Apple Pay
200003,2026-02-01,1142,Direct,Desktop,DE,217.05,0.0,0.0,217.05,Apple Pay
200004,2025-12-17,2934,Direct,Desktop,AU,148.43,0.0,0.0,148.43,Credit Card
200005,2025-08-29,14053,Organic Search,Desktop,DE,65.21,0.0,2.5,62.72,Credit Card
200006,2025-09-08,15183,Paid Social,Desktop,DE,87.2,0.0,0.0,87.2,PayPal
200007,2025-08-27,10921,Direct,Mobile,US,165.2,0.0,0.0,165.2,Shop Pay
200008,2025-11-10,12637,Paid Social,Desktop,CA,225.12,0.0,0.0,225.12,Shop Pay
200009,2025-09-18,11281,Direct,Mobile,CA,204.98,0.0,0.0,204.98,Shop Pay
200010,2025-11-28,13629,Email,Mobile,DE,201.52,0.0,7.95,193.56,Credit Card
200011,2026-01-11,3150,Direct,Mobile,DE,272.27,0.0,0.0,272.27,Credit Card
200012,2025-12-20,1893,Paid Social,Desktop,US,57.5,0.0,0.0,57.5,Shop Pay
200013,2025-12-07,4002,Organic Search,Mobile,US,106.35,0.0,0.0,106.35,PayPal
200014,2025-08-28,14077,Email,Mobile,UK,83.51,0.0,0.0,83.51,PayPal
200015,2025-09-01,14397,Paid Search,Mobile,AU,184.32,0.0,11.46,172.85,Shop Pay
200016,2026-02-04,2830,Paid Search,Desktop,UK,229.18,0.0,0.0,229.18,Credit Card
200017,2026-01-31,17839,Paid Search,Desktop,CA,122.53,0.0,7.38,115.15,PayPal
200018,2025-09-17,4289,Direct,Desktop,US,53.43,7.72,0.0,61.15,PayPal
200019,2026-01-15,6063,Organic Search,Desktop,DE,360.93,0.0,28.08,332.85,PayPal
200020,2025-12-22,13140,Paid Social,Mobile,US,128.85,0.0,0.0,128.85,PayPal
200021,2025-08-24,16960,Paid Search,Mobile,CA,8.89,7.0,0.58,15.31,PayPal
200022,2025-10-17,51,Paid Social,Desktop,CA,219.3,0.0,0.0,219.3,Credit Card
200023,2025-10-03,3414,Paid Social,Desktop,UK,48.66,5.18,0.0,53.84,Credit Card
200024,2025-10-30,13666,Organic Search,Desktop,UK,83.95,0.0,9.96,73.99,Shop Pay
200025,2025-08-24,5373,Email,Desktop,AU,48.5,5.56,4.82,49.24,Credit Card
200026,2025-10-03,1282,Organic Search,Mobile,DE,166.73,0.0,0.0,166.73,PayPal
200027,2025-08-31,6678,Email,Mobile,UK,302.2,0.0,0.0,302.2,Apple Pay
200028,2025-10-01,4939,Paid Search,Desktop,AU,103.94,0.0,0.0,103.94,Shop Pay
200029,2025-11-13,8922,Email,Mobile,CA,118.34,0.0,13.49,104.85,Apple Pay
200030,2025-10-20,7018,Email,Desktop,DE,128.24,0.0,0.0,128.24,PayPal
200031,2025-08-29,4796,Email,Mobile,UK,123.42,0.0,0.0,123.42,Apple Pay
200032,2026-01-31,895,Paid Search,Desktop,DE,61.32,0.0,0.0,61.32,Credit Card
200033,2025-10-10,17744,Paid Search,Desktop,CA,18.93,7.84,0.0,26.77,Apple Pay
200034,2025-09-20,8902,Paid Search,Desktop,CA,137.63,0.0,10.48,127.15,Shop Pay
200035,2025-09-26,13016,Paid Search,Desktop,DE,118.32,0.0,0.0,118.32,Credit Card
200036,2025-11-05,8945,Direct,Desktop,UK,179.39,0.0,5.92,173.47,Apple Pay
200037,2026-01-20,7724,Email,Desktop,AU,145.06,0.0,0.0,145.06,Shop Pay
200038,2026-01-08,2052,Organic Search,Mobile,AU,160.97,0.0,10.32,150.65,Apple Pay
200039,2025-08-22,3033,Paid Social,Desktop,DE,9.32,5.82,0.64,14.5,PayPal
200040,2025-11-03,464,Paid Search,Mobile,UK,24.16,7.1,0.0,31.26,Apple Pay
200041,2025-09-04,440,Paid Social,Desktop,AU,422.47,0.0,0.0,422.47,PayPal
200042,2025-10-03,17026,Paid Search,Desktop,US,193.17,0.0,0.0,193.17,Credit Card
200043,2025-09-01,1539,Paid Social,Mobile,US,105.52,0.0,0.0,105.52,Apple Pay
200044,2025-10-19,12479,Email,Desktop,CA,64.95,0.0,4.39,60.57,PayPal
200045,2025-11-23,15275,Paid Social,Desktop,AU,61.34,0.0,0.0,61.34,Credit Card
200046,2025-10-09,10040,Organic Search,Desktop,DE,102.88,0.0,0.0,102.88,Shop Pay
200047,2026-01-18,13371,Paid Search,Desktop,US,268.91,0.0,21.22,247.69,Apple Pay
200048,2025-11-09,5922,Paid Social,Mobile,CA,37.03,0.0,0.0,37.03,PayPal
200049,2025-09-24,2468,Direct,Mobile,DE,229.6,0.0,9.56,220.05,Credit Card
200050,2026-01-19,16804,Paid Social,Desktop,CA,236.12,0.0,0.0,236.12,Apple Pay
200051,2025-12-02,4828,Organic Search,Mobile,CA,155.35,0.0,0.0,155.35,PayPal
200052,2025-08-27,17234,Organic Search,Desktop,US,82.82,0.0,0.0,82.82,Credit Card
200053,2025-12-08,15801,Direct,Mobile,DE,102.98,0.0,0.0,102.98,PayPal
200054,2026-02-09,10889,Paid Social,Desktop,US,131.72,0.0,10.68,121.04,Apple Pay
200055,2026-01-24,14572,Organic Search,Desktop,CA,240.91,0.0,0.0,240.91,Credit Card
200056,2025-11-13,9846,Paid Social,Desktop,AU,98.01,0.0,0.0,98.01,Credit Card
200057,2026-01-17,16764,Email,Mobile,DE,341.83,0.0,0.0,341.83,Apple Pay
200058,2025-12-04,14907,Paid Social,Mobile,DE,145.28,0.0,0.0,145.28,PayPal
200059,2025-10-04,11495,Email,Desktop,US,160.83,0.0,0.0,160.83,Shop Pay
200060,2026-01-06,9348,Paid Social,Mobile,DE,141.02,0.0,0.0,141.02,Apple Pay
200061,2025-08-22,17402,Email,Mobile,US,68.91,0.0,0.0,68.91,PayPal
200062,2025-08-17,12100,Organic Search,Desktop,AU,128.57,0.0,0.0,128.57,Shop Pay
200063,2025-08-29,8614,Organic Search,Desktop,DE,290.75,0.0,0.0,290.75,PayPal
200064,2025-12-23,320,Email,Mobile,AU,53.98,0.0,0.0,53.98,Apple Pay
200065,2025-09-06,7275,Email,Desktop,AU,18.12,6.58,0.0,24.7,Apple Pay
200066,2025-12-04,12217,Paid Search,Desktop,UK,149.56,0.0,5.5,144.06,Apple Pay
200067,2025-11-21,14439,Organic Search,Desktop,US,353.29,0.0,0.0,353.29,Apple Pay
200068,2025-11-05,2305,Direct,Desktop,DE,223.08,0.0,0.0,223.08,PayPal
200069,2025-09-09,15434,Email,Mobile,DE,83.58,0.0,0.0,83.58,Shop Pay
200070,2026-01-31,13134,Email,Mobile,US,204.6,0.0,19.26,185.35,PayPal
200071,2025-12-09,15842,Email,Desktop,AU,219.53,0.0,0.0,219.53,Shop Pay
200072,2025-12-29,1210,Paid Search,Mobile,AU,43.52,7.12,0.0,50.65,Apple Pay
200073,2025-08-19,2389,Direct,Desktop,CA,198.93,0.0,0.0,198.93,Credit Card
200074,2025-12-08,9184,Paid Search,Desktop,UK,30.19,5.87,1.75,34.31,Apple Pay
200075,2025-08-24,16777,Organic Search,Mobile,DE,28.92,6.14,0.0,35.05,Credit Card
200076,2025-09-03,2810,Organic Search,Mobile,UK,203.95,0.0,0.0,203.95,Shop Pay
200077,2025-09-11,9995,Paid Social,Mobile,US,162.8,0.0,0.0,162.8,Credit Card
200078,2026-02-10,8351,Paid Search,Desktop,US,87.52,0.0,8.54,78.98,Credit Card
200079,2025-08-21,4384,Paid Social,Desktop,DE,139.03,0.0,10.52,128.51,Shop Pay
200080,2025-11-28,16245,Email,Desktop,AU,169.99,0.0,6.17,163.83,Credit Card
200081,2025-10-20,17973,Direct,Mobile,AU,10.24,7.05,0.98,16.32,PayPal
200082,2025-10-17,1816,Organic Search,Desktop,AU,122.36,0.0,13.43,108.93,PayPal
200083,2025-12-28,10094,Direct,Desktop,AU,113.13,0.0,11.46,101.67,Apple Pay
200084,2025-10-26,7673,Paid Search,Mobile,US,154.42,0.0,10.77,143.66,Apple Pay
200085,2025-10-28,12676,Paid Search,Mobile,US,56.01,7.47,0.0,63.48,Apple Pay
200086,2025-11-10,1469,Direct,Desktop,DE,181.22,0.0,0.0,181.22,Shop Pay
200087,2025-11-11,9750,Paid Search,Desktop,UK,52.03,7.29,3.5,55.82,PayPal
200088,2025-09-08,1548,Paid Search,Mobile,UK,226.34,0.0,18.97,207.37,Shop Pay
200089,2026-02-05,8559,Paid Search,Mobile,US,203.36,0.0,0.0,203.36,PayPal
200090,2026-02-07,15664,Paid Search,Mobile,DE,186.76,0.0,0.0,186.76,Credit Card
200091,2025-10-12,434,Organic Search,Mobile,US,186.56,0.0,0.0,186.56,Credit Card
200092,2026-01-20,96,Paid Search,Desktop,CA,69.57,0.0,7.12,62.45,Credit Card
200093,2025-12-07,4654,Paid Search,Desktop,AU,40.7,0.0,0.0,40.7,Credit Card
200094,2025-10-14,7741,Paid Social,Mobile,AU,126.96,0.0,0.0,126.96,Credit Card
200095,2025-10-19,14272,Paid Social,Mobile,AU,47.81,5.42,2.48,50.75,Credit Card
200096,2025-11-08,16027,Organic Search,Mobile,AU,151.42,0.0,14.0,137.42,Apple Pay
200097,2025-11-26,14791,Email,Mobile,AU,91.11,0.0,10.83,80.28,PayPal
200098,2025-09-30,3231,Email,Mobile,AU,277.67,0.0,0.0,277.67,Apple Pay
200099,2025-12-10,9141,Paid Social,Mobile,UK,195.22,0.0,0.0,195.22,PayPal
