date,channel,device,country,sessions,add_to_cart,checkout_start,purchases,cac_modeled
2025-08-15,Paid Search,Mobile,DE,1218,151,99,50,1.55
2025-08-15,Paid Search,Desktop,DE,971,76,46,24,1.0
2025-08-15,Paid Social,Mobile,DE,836,92,60,41,0.37
2025-08-15,Paid Social,Desktop,US,561,76,48,30,1.4
2025-08-15,Organic Search,Mobile,CA,872,85,56,32,0.77
2025-08-15,Organic Search,Desktop,US,826,101,64,42,0.57
2025-08-15,Email,Mobile,US,822,74,48,22,0.49
2025-08-15,Email,Desktop,CA,886,103,62,30,1.19
2025-08-15,Direct,Mobile,DE,480,35,19,10,1.57
2025-08-15,Direct,Desktop,AU,1192,102,77,40,1.45
2025-08-16,Paid Search,Mobile,US,1251,178,110,74,0.98
2025-08-16,Paid Search,Desktop,CA,792,92,60,28,1.2
2025-08-16,Paid Social,Mobile,US,696,65,41,29,1.51
2025-08-16,Paid Social,Desktop,UK,1048,84,53,29,1.48
2025-08-16,Organic Search,Mobile,DE,753,82,64,31,1.05
2025-08-16,Organic Search,Desktop,CA,813,102,81,47,1.87
2025-08-16,Email,Mobile,US,1085,127,99,61,1.58
2025-08-16,Email,Desktop,CA,531,38,25,16,0.99
2025-08-16,Direct,Mobile,CA,854,105,79,39,0.74
2025-08-16,Direct,Desktop,US,824,105,68,43,1.94
2025-08-17,Paid Search,Mobile,DE,1028,120,66,33,1.65
2025-08-17,Paid Search,Desktop,DE,789,89,52,27,1.69
2025-08-17,Paid Social,Mobile,CA,1002,92,50,32,1.18
2025-08-17,Paid Social,Desktop,AU,931,95,54,37,0.97
2025-08-17,Organic Search,Mobile,US,1359,175,140,83,1.38
2025-08-17,Organic Search,Desktop,CA,991,90,60,35,1.48
2025-08-17,Email,Mobile,AU,1245,170,118,79,1.12
2025-08-17,Email,Desktop,CA,933,77,62,42,0.98
2025-08-17,Direct,Mobile,UK,810,117,73,37,1.08
2025-08-17,Direct,Desktop,CA,910,92,64,32,0.37
2025-08-18,Paid Search,Mobile,DE,1138,103,65,33,1.63
2025-08-18,Paid Search,Desktop,CA,374,54,34,24,0.93
2025-08-18,Paid Social,Mobile,UK,864,60,47,28,0.5
2025-08-18,Paid Social,Desktop,CA,657,77,57,39,0.68
2025-08-18,Organic Search,Mobile,US,1168,172,140,89,0.6
2025-08-18,Organic Search,Desktop,CA,838,101,69,48,0.63
2025-08-18,Email,Mobile,AU,1389,102,76,47,0.88
2025-08-18,Email,Desktop,CA,1044,73,54,25,1.41
2025-08-18,Direct,Mobile,DE,487,53,29,13,1.52
2025-08-18,Direct,Desktop,CA,864,108,74,34,0.51
2025-08-19,Paid Search,Mobile,AU,417,30,22,11,1.46
2025-08-19,Paid Search,Desktop,CA,696,94,55,36,1.63
2025-08-19,Paid Social,Mobile,UK,708,88,69,45,0.56
2025-08-19,Paid Social,Desktop,DE,818,106,75,44,1.28
2025-08-19,Organic Search,Mobile,US,773,66,50,30,0.48
2025-08-19,Organic Search,Desktop,AU,706,99,72,47,0.47
2025-08-19,Email,Mobile,DE,1399,150,82,56,0.95
2025-08-19,Email,Desktop,CA,734,92,71,49,1.23
2025-08-19,Direct,Mobile,DE,1027,88,67,40,0.56
2025-08-19,Direct,Desktop,US,953,85,65,31,1.82
2025-08-20,Paid Search,Mobile,DE,1321,163,124,80,0.73
2025-08-20,Paid Search,Desktop,UK,612,88,63,38,0.88
2025-08-20,Paid Social,Mobile,AU,685,77,57,34,1.6
2025-08-20,Paid Social,Desktop,AU,679,88,68,39,0.89
2025-08-20,Organic Search,Mobile,DE,1029,114,65,36,1.22
2025-08-20,Organic Search,Desktop,UK,582,70,56,38,1.71
2025-08-20,Email,Mobile,AU,1275,187,136,79,0.97
2025-08-20,Email,Desktop,UK,934,111,67,36,1.68
2025-08-20,Direct,Mobile,US,793,77,49,29,1.45
2025-08-20,Direct,Desktop,DE,608,68,47,33,1.67
2025-08-21,Paid Search,Mobile,UK,829,103,68,40,1.61
2025-08-21,Paid Search,Desktop,CA,970,129,97,45,1.42
2025-08-21,Paid Social,Mobile,DE,880,99,67,39,0.6
2025-08-21,Paid Social,Desktop,UK,678,89,62,42,0.53
2025-08-21,Organic Search,Mobile,CA,1236,109,63,44,0.68
2025-08-21,Organic Search,Desktop,AU,803,65,39,21,0.6
2025-08-21,Email,Mobile,AU,1250,126,90,47,1.04
2025-08-21,Email,Desktop,US,819,102,66,37,1.18
2025-08-21,Direct,Mobile,AU,1397,120,81,51,1.89
2025-08-21,Direct,Desktop,DE,974,113,77,45,1.45
2025-08-22,Paid Search,Mobile,DE,1524,200,111,55,0.99
2025-08-22,Paid Search,Desktop,DE,657,79,45,25,0.64
2025-08-22,Paid Social,Mobile,DE,568,70,51,36,1.44
2025-08-22,Paid Social,Desktop,AU,1273,179,135,75,0.93
2025-08-22,Organic Search,Mobile,DE,785,105,60,42,1.63
2025-08-22,Organic Search,Desktop,AU,712,77,43,27,0.69
2025-08-22,Email,Mobile,US,1208,178,131,90,0.74
2025-08-22,Email,Desktop,AU,912,79,50,27,1.69
2025-08-22,Direct,Mobile,US,1143,160,120,77,1.53
2025-08-22,Direct,Desktop,DE,588,50,38,23,0.37
2025-08-23,Paid Search,Mobile,CA,998,110,77,43,0.61
2025-08-23,Paid Search,Desktop,CA,778,66,46,24,1.87
2025-08-23,Paid Social,Mobile,AU,565,81,45,30,0.9
2025-08-23,Paid Social,Desktop,AU,807,67,49,32,0.5
2025-08-23,Organic Search,Mobile,CA,1159,147,91,51,0.84
2025-08-23,Organic Search,Desktop,US,383,32,20,10,1.05
2025-08-23,Email,Mobile,UK,662,64,50,23,0.84
2025-08-23,Email,Desktop,CA,626,67,43,23,1.03
2025-08-23,Direct,Mobile,US,989,146,119,76,1.84
2025-08-23,Direct,Desktop,DE,434,41,28,15,0.98
2025-08-24,Paid Search,Mobile,AU,956,70,47,27,1.77
2025-08-24,Paid Search,Desktop,AU,588,69,53,32,1.52
2025-08-24,Paid Social,Mobile,CA,1272,114,90,61,0.43
2025-08-24,Paid Social,Desktop,US,763,75,58,28,1.68
2025-08-24,Organic Search,Mobile,UK,955,128,88,62,1.02
2025-08-24,Organic Search,Desktop,CA,933,138,92,55,1.22
2025-08-24,Email,Mobile,UK,926,104,60,35,0.46
2025-08-24,Email,Desktop,DE,942,83,65,31,1.85
2025-08-24,Direct,Mobile,CA,1383,204,132,63,1.39
2025-08-24,Direct,Desktop,UK,842,123,92,64,1.4
2025-08-25,Paid Search,Mobile,UK,1307,154,120,66,0.81
2025-08-25,Paid Search,Desktop,DE,1066,90,51,25,0.48
2025-08-25,Paid Social,Mobile,CA,874,113,90,43,0.87
2025-08-25,Paid Social,Desktop,UK,613,54,37,19,1.26
2025-08-25,Organic Search,Mobile,CA,604,64,40,20,1.93
2025-08-25,Organic Search,Desktop,AU,836,64,42,21,0.99
