date,store_id,labor_hours,labor_cost
2025-08-15,Store_001,116.85,2173.11
2025-08-15,Store_002,89.93,1585.81
2025-08-15,Store_003,117.11,2163.65
2025-08-15,Store_004,50.0,968.02
2025-08-15,Store_005,111.0,2405.62
2025-08-15,Store_006,128.8,2595.14
2025-08-15,Store_007,119.02,2376.8
2025-08-15,Store_008,137.86,2832.81
2025-08-15,Store_009,108.24,2249.69
2025-08-15,Store_010,119.82,2167.85
2025-08-15,Store_011,120.08,2424.76
2025-08-15,Store_012,125.22,2458.83
2025-08-15,Store_013,169.64,3129.63
2025-08-15,Store_014,128.31,2809.03
2025-08-15,Store_015,86.78,1830.54
2025-08-15,Store_016,81.3,1506.02
2025-08-15,Store_017,66.55,1230.16
2025-08-15,Store_018,159.53,3002.1
2025-08-15,Store_019,84.46,1735.41
2025-08-15,Store_020,145.31,2776.75
2025-08-16,Store_001,158.04,2717.94
2025-08-16,Store_002,146.58,2588.24
2025-08-16,Store_003,197.94,3961.54
2025-08-16,Store_004,194.74,4049.99
2025-08-16,Store_005,159.89,3165.76
2025-08-16,Store_006,194.73,3981.31
2025-08-16,Store_007,136.8,2853.83
2025-08-16,Store_008,133.3,2606.31
2025-08-16,Store_009,152.92,2806.91
2025-08-16,Store_010,120.78,2142.63
2025-08-16,Store_011,142.05,3105.64
2025-08-16,Store_012,106.95,1906.64
2025-08-16,Store_013,140.17,2791.66
2025-08-16,Store_014,152.25,2814.08
2025-08-16,Store_015,117.89,2250.66
2025-08-16,Store_016,128.36,2508.57
2025-08-16,Store_017,192.77,4089.42
2025-08-16,Store_018,114.7,2328.26
2025-08-16,Store_019,103.63,2024.87
2025-08-16,Store_020,104.05,1934.69
2025-08-17,Store_001,118.49,2175.99
2025-08-17,Store_002,146.92,3125.76
2025-08-17,Store_003,130.3,2291.53
2025-08-17,Store_004,110.94,2114.27
2025-08-17,Store_005,160.18,3043.37
2025-08-17,Store_006,95.73,2093.96
2025-08-17,Store_007,147.81,3243.61
2025-08-17,Store_008,136.75,2567.55
2025-08-17,Store_009,91.16,1781.21
2025-08-17,Store_010,105.07,2267.94
2025-08-17,Store_011,136.83,2407.61
2025-08-17,Store_012,146.71,2558.06
2025-08-17,Store_013,195.68,4186.01
2025-08-17,Store_014,158.51,3040.78
2025-08-17,Store_015,146.54,2649.61
2025-08-17,Store_016,80.23,1532.69
2025-08-17,Store_017,166.79,3653.06
2025-08-17,Store_018,179.51,3781.02
2025-08-17,Store_019,78.81,1590.91
2025-08-17,Store_020,178.03,3245.21
2025-08-18,Store_001,118.4,2116.73
2025-08-18,Store_002,130.97,2226.6
2025-08-18,Store_003,137.7,2653.68
2025-08-18,Store_004,104.14,1956.37
2025-08-18,Store_005,84.87,1602.96
2025-08-18,Store_006,138.65,3017.91
2025-08-18,Store_007,72.44,1362.23
2025-08-18,Store_008,76.45,1592.85
2025-08-18,Store_009,139.53,2406.87
2025-08-18,Store_010,126.37,2182.39
2025-08-18,Store_011,106.24,2041.19
2025-08-18,Store_012,113.44,1966.74
2025-08-18,Store_013,151.97,3191.16
2025-08-18,Store_014,127.84,2757.31
2025-08-18,Store_015,92.8,1824.71
2025-08-18,Store_016,88.03,1567.76
2025-08-18,Store_017,106.48,2324.8
2025-08-18,Store_018,116.78,2108.71
2025-08-18,Store_019,124.66,2634.7
2025-08-18,Store_020,140.31,3030.06
2025-08-19,Store_001,136.91,2632.66
2025-08-19,Store_002,96.02,1873.77
2025-08-19,Store_003,149.64,3172.48
2025-08-19,Store_004,88.53,1940.38
2025-08-19,Store_005,58.68,1136.22
2025-08-19,Store_006,124.79,2231.37
2025-08-19,Store_007,104.82,2164.62
2025-08-19,Store_008,120.47,2194.59
2025-08-19,Store_009,126.51,2502.4
2025-08-19,Store_010,123.03,2538.53
2025-08-19,Store_011,101.2,2215.31
2025-08-19,Store_012,98.34,2092.98
2025-08-19,Store_013,128.34,2358.54
2025-08-19,Store_014,82.04,1399.76
2025-08-19,Store_015,96.85,1979.18
2025-08-19,Store_016,125.62,2746.27
2025-08-19,Store_017,68.61,1378.96
