week_end,store_id,nps_score,survey_responses
2025-08-17,Store_001,29,130
2025-08-17,Store_002,22,64
2025-08-17,Store_003,41,128
2025-08-17,Store_004,43,99
2025-08-17,Store_005,63,95
2025-08-17,Store_006,36,143
2025-08-17,Store_007,52,92
2025-08-17,Store_008,53,112
2025-08-17,Store_009,59,128
2025-08-17,Store_010,42,126
2025-08-17,Store_011,61,73
2025-08-17,Store_012,45,156
2025-08-17,Store_013,42,175
2025-08-17,Store_014,35,87
2025-08-17,Store_015,40,103
2025-08-17,Store_016,45,120
2025-08-17,Store_017,43,109
2025-08-17,Store_018,33,150
2025-08-17,Store_019,36,181
2025-08-17,Store_020,52,142
2025-08-24,Store_001,53,110
2025-08-24,Store_002,42,178
2025-08-24,Store_003,30,148
2025-08-24,Store_004,39,118
2025-08-24,Store_005,43,125
2025-08-24,Store_006,57,91
2025-08-24,Store_007,36,156
2025-08-24,Store_008,58,132
2025-08-24,Store_009,38,71
2025-08-24,Store_010,45,153
2025-08-24,Store_011,52,151
2025-08-24,Store_012,30,160
2025-08-24,Store_013,47,101
2025-08-24,Store_014,73,95
2025-08-24,Store_015,35,103
2025-08-24,Store_016,46,99
2025-08-24,Store_017,50,126
2025-08-24,Store_018,34,58
2025-08-24,Store_019,65,125
2025-08-24,Store_020,65,110
2025-08-31,Store_001,40,79
2025-08-31,Store_002,30,167
2025-08-31,Store_003,53,86
2025-08-31,Store_004,57,84
2025-08-31,Store_005,35,139
2025-08-31,Store_006,46,152
2025-08-31,Store_007,12,93
2025-08-31,Store_008,75,126
2025-08-31,Store_009,48,150
2025-08-31,Store_010,43,155
2025-08-31,Store_011,54,120
2025-08-31,Store_012,38,67
2025-08-31,Store_013,53,200
2025-08-31,Store_014,41,115
2025-08-31,Store_015,36,88
2025-08-31,Store_016,37,187
2025-08-31,Store_017,48,112
2025-08-31,Store_018,25,130
2025-08-31,Store_019,42,87
2025-08-31,Store_020,52,126
2025-09-07,Store_001,77,98
2025-09-07,Store_002,44,123
2025-09-07,Store_003,45,100
2025-09-07,Store_004,48,92
2025-09-07,Store_005,46,167
2025-09-07,Store_006,12,90
2025-09-07,Store_007,36,140
2025-09-07,Store_008,23,105
2025-09-07,Store_009,50,119
2025-09-07,Store_010,16,123
2025-09-07,Store_011,24,103
2025-09-07,Store_012,26,35
2025-09-07,Store_013,20,154
2025-09-07,Store_014,39,179
2025-09-07,Store_015,44,82
2025-09-07,Store_016,51,103
2025-09-07,Store_017,33,44
2025-09-07,Store_018,54,139
2025-09-07,Store_019,37,74
2025-09-07,Store_020,68,117
2025-09-14,Store_001,43,129
2025-09-14,Store_002,54,137
2025-09-14,Store_003,32,91
2025-09-14,Store_004,56,136
2025-09-14,Store_005,70,74
2025-09-14,Store_006,52,187
2025-09-14,Store_007,63,155
2025-09-14,Store_008,53,138
2025-09-14,Store_009,41,75
2025-09-14,Store_010,52,184
2025-09-14,Store_011,48,157
2025-09-14,Store_012,34,116
2025-09-14,Store_013,42,81
2025-09-14,Store_014,54,91
2025-09-14,Store_015,30,135
2025-09-14,Store_016,41,159
2025-09-14,Store_017,42,126
2025-09-14,Store_018,64,156
2025-09-14,Store_019,80,64
2025-09-14,Store_020,52,235
2025-09-21,Store_001,17,89
2025-09-21,Store_002,41,168
2025-09-21,Store_003,29,115
2025-09-21,Store_004,46,115
2025-09-21,Store_005,16,60
2025-09-21,Store_006,42,73
2025-09-21,Store_007,39,125
2025-09-21,Store_008,33,57
2025-09-21,Store_009,37,121
2025-09-21,Store_010,42,35
2025-09-21,Store_011,46,188
2025-09-21,Store_012,52,89
2025-09-21,Store_013,48,99
2025-09-21,Store_014,62,88
2025-09-21,Store_015,31,120
2025-09-21,Store_016,22,122
2025-09-21,Store_017,55,114
2025-09-21,Store_018,29,61
2025-09-21,Store_019,14,101
2025-09-21,Store_020,42,140
2025-09-28,Store_001,29,80
2025-09-28,Store_002,49,145
2025-09-28,Store_003,58,160
2025-09-28,Store_004,35,138
2025-09-28,Store_005,50,79
2025-09-28,Store_006,60,165
2025-09-28,Store_007,48,155
2025-09-28,Store_008,50,158
2025-09-28,Store_009,24,126
2025-09-28,Store_010,65,48
2025-09-28,Store_011,34,144
2025-09-28,Store_012,36,112
2025-09-28,Store_013,18,128
2025-09-28,Store_014,36,125
2025-09-28,Store_015,53,35
2025-09-28,Store_016,57,81
2025-09-28,Store_017,43,148
2025-09-28,Store_018,40,160
2025-09-28,Store_019,40,106
2025-09-28,Store_020,67,117
2025-10-05,Store_001,26,170
2025-10-05,Store_002,5,130
2025-10-05,Store_003,42,91
2025-10-05,Store_004,5,222
2025-10-05,Store_005,42,121
2025-10-05,Store_006,37,64
2025-10-05,Store_007,37,111
2025-10-05,Store_008,57,68
2025-10-05,Store_009,65,107
2025-10-05,Store_010,46,144
2025-10-05,Store_011,25,71
2025-10-05,Store_012,30,170
2025-10-05,Store_013,51,96
2025-10-05,Store_014,18,125
2025-10-05,Store_015,40,77
2025-10-05,Store_016,48,84
2025-10-05,Store_017,55,117
2025-10-05,Store_018,51,160
2025-10-05,Store_019,59,111
2025-10-05,Store_020,37,135
2025-10-12,Store_001,40,73
2025-10-12,Store_002,43,158
2025-10-12,Store_003,51,48
2025-10-12,Store_004,40,123
2025-10-12,Store_005,49,110
2025-10-12,Store_006,28,64
2025-10-12,Store_007,58,184
2025-10-12,Store_008,8,147
2025-10-12,Store_009,39,75
2025-10-12,Store_010,65,76
2025-10-12,Store_011,55,51
2025-10-12,Store_012,52,106
2025-10-12,Store_013,52,46
2025-10-12,Store_014,47,78
2025-10-12,Store_015,57,155
2025-10-12,Store_016,63,149
2025-10-12,Store_017,38,142
2025-10-12,Store_018,32,126
2025-10-12,Store_019,38,142
2025-10-12,Store_020,18,96
2025-10-19,Store_001,42,102
2025-10-19,Store_002,39,140
2025-10-19,Store_003,21,76
2025-10-19,Store_004,48,179
2025-10-19,Store_005,36,121
2025-10-19,Store_006,43,97
2025-10-19,Store_007,72,110
2025-10-19,Store_008,46,92
2025-10-19,Store_009,62,96
2025-10-19,Store_010,30,150
2025-10-19,Store_011,34,123
2025-10-19,Store_012,34,94
2025-10-19,Store_013,45,55
2025-10-19,Store_014,23,176
2025-10-19,Store_015,53,162
2025-10-19,Store_016,44,147
2025-10-19,Store_017,40,155
2025-10-19,Store_018,26,139
2025-10-19,Store_019,22,165
2025-10-19,Store_020,46,189
2025-10-26,Store_001,10,99
2025-10-26,Store_002,36,105
2025-10-26,Store_003,30,155
2025-10-26,Store_004,27,48
2025-10-26,Store_005,36,150
2025-10-26,Store_006,46,102
2025-10-26,Store_007,43,123
2025-10-26,Store_008,38,35
2025-10-26,Store_009,26,165
2025-10-26,Store_010,56,116
2025-10-26,Store_011,27,117
2025-10-26,Store_012,40,111
2025-10-26,Store_013,61,106
2025-10-26,Store_014,64,98
2025-10-26,Store_015,51,35
2025-10-26,Store_016,25,159
2025-10-26,Store_017,34,171
2025-10-26,Store_018,48,35
2025-10-26,Store_019,36,127
2025-10-26,Store_020,31,124
2025-11-02,Store_001,39,136
2025-11-02,Store_002,58,125
2025-11-02,Store_003,48,74
2025-11-02,Store_004,45,146
2025-11-02,Store_005,50,174
2025-11-02,Store_006,37,67
2025-11-02,Store_007,23,74
2025-11-02,Store_008,44,88
2025-11-02,Store_009,19,114
2025-11-02,Store_010,48,192
2025-11-02,Store_011,50,107
2025-11-02,Store_012,46,162
2025-11-02,Store_013,47,90
2025-11-02,Store_014,48,61
2025-11-02,Store_015,27,100
2025-11-02,Store_016,71,37
2025-11-02,Store_017,54,68
2025-11-02,Store_018,47,168
2025-11-02,Store_019,63,61
2025-11-02,Store_020,40,139
2025-11-09,Store_001,35,93
2025-11-09,Store_002,46,105
2025-11-09,Store_003,39,150
2025-11-09,Store_004,33,111
2025-11-09,Store_005,36,161
2025-11-09,Store_006,45,162
2025-11-09,Store_007,44,168
2025-11-09,Store_008,19,98
2025-11-09,Store_009,57,105
2025-11-09,Store_010,16,66
2025-11-09,Store_011,31,167
2025-11-09,Store_012,43,89
2025-11-09,Store_013,44,140
2025-11-09,Store_014,56,109
2025-11-09,Store_015,26,135
2025-11-09,Store_016,31,125
2025-11-09,Store_017,17,132
2025-11-09,Store_018,23,103
2025-11-09,Store_019,36,109
2025-11-09,Store_020,28,98
2025-11-16,Store_001,14,116
2025-11-16,Store_002,49,160
2025-11-16,Store_003,45,120
2025-11-16,Store_004,37,125
2025-11-16,Store_005,61,121
2025-11-16,Store_006,13,126
2025-11-16,Store_007,33,119
2025-11-16,Store_008,31,109
2025-11-16,Store_009,60,142
2025-11-16,Store_010,35,187
2025-11-16,Store_011,27,48
2025-11-16,Store_012,27,35
2025-11-16,Store_013,43,142
2025-11-16,Store_014,25,170
2025-11-16,Store_015,41,108
2025-11-16,Store_016,48,176
2025-11-16,Store_017,56,69
2025-11-16,Store_018,26,81
2025-11-16,Store_019,38,139
2025-11-16,Store_020,39,148
2025-11-23,Store_001,32,117
2025-11-23,Store_002,34,67
2025-11-23,Store_003,39,50
2025-11-23,Store_004,49,75
2025-11-23,Store_005,74,127
2025-11-23,Store_006,54,138
2025-11-23,Store_007,47,163
2025-11-23,Store_008,17,128
2025-11-23,Store_009,36,112
