date,store_id,foot_traffic,transactions,net_sales,gross_profit,refund_amount,on_shelf_availability
2025-08-15,Store_001,561,148,4464.35,2056.33,60.38,0.893
2025-08-15,Store_002,249,74,3649.19,1644.44,23.02,0.943
2025-08-15,Store_003,433,87,4232.51,2048.55,45.92,0.952
2025-08-15,Store_004,540,143,7204.11,3355.23,65.45,0.9
2025-08-15,Store_005,842,187,5860.31,2685.11,42.55,0.971
2025-08-15,Store_006,452,74,2939.67,1593.42,52.13,0.886
2025-08-15,Store_007,537,129,5352.84,2735.08,56.51,0.93
2025-08-15,Store_008,622,189,9531.17,5411.03,155.21,0.918
2025-08-15,Store_009,703,209,8657.18,4881.43,110.01,0.94
2025-08-15,Store_010,290,80,5427.31,2528.33,105.95,0.925
2025-08-15,Store_011,599,163,11495.7,5850.8,81.63,0.904
2025-08-15,Store_012,657,184,6791.77,2925.89,98.9,0.903
2025-08-15,Store_013,588,157,11124.75,4785.06,120.09,0.913
2025-08-15,Store_014,358,84,5970.1,2546.92,93.5,0.89
2025-08-15,Store_015,335,79,5795.43,3080.84,114.72,0.893
2025-08-15,Store_016,217,56,2972.67,1429.07,15.11,0.953
2025-08-15,Store_017,293,79,5857.35,2612.94,109.71,0.913
2025-08-15,Store_018,959,379,26538.72,11293.57,236.28,0.862
2025-08-15,Store_019,400,59,1242.05,661.2,14.15,0.954
2025-08-15,Store_020,450,105,3907.46,2239.59,33.18,0.905
2025-08-16,Store_001,804,98,5894.74,2825.16,104.11,0.892
2025-08-16,Store_002,851,214,5691.6,2602.56,41.69,0.894
2025-08-16,Store_003,825,225,13259.1,6781.05,259.79,0.922
2025-08-16,Store_004,649,118,6194.58,3222.15,79.35,0.893
2025-08-16,Store_005,578,136,8323.09,3833.97,164.6,0.926
2025-08-16,Store_006,784,158,7111.46,3708.02,88.77,0.936
2025-08-16,Store_007,144,45,2554.69,1155.39,13.24,0.929
2025-08-16,Store_008,553,132,8042.47,4570.57,116.03,0.955
2025-08-16,Store_009,519,84,3610.67,2078.6,27.09,0.967
2025-08-16,Store_010,738,218,10193.02,5279.93,189.92,0.928
2025-08-16,Store_011,839,194,9952.75,4409.27,119.98,0.949
2025-08-16,Store_012,731,98,6703.65,3801.56,83.59,0.925
2025-08-16,Store_013,368,98,5233.07,3010.57,62.2,0.93
2025-08-16,Store_014,790,199,9086.6,4559.63,137.71,0.948
2025-08-16,Store_015,802,156,8479.4,3746.46,130.39,0.916
2025-08-16,Store_016,377,88,3369.53,1518.36,53.52,0.873
2025-08-16,Store_017,917,243,11849.99,5723.58,141.39,0.915
2025-08-16,Store_018,683,152,9755.0,4977.75,178.75,0.978
2025-08-16,Store_019,597,126,5048.57,2135.81,93.06,0.894
2025-08-16,Store_020,757,170,9609.77,4509.95,95.94,0.99
2025-08-17,Store_001,227,45,3147.47,1364.88,44.11,0.933
2025-08-17,Store_002,773,228,12109.92,6259.22,158.95,0.902
2025-08-17,Store_003,683,184,7775.28,4076.21,80.56,0.908
2025-08-17,Store_004,958,189,8270.62,4318.18,132.02,0.94
2025-08-17,Store_005,567,113,8325.23,4505.68,128.64,0.898
2025-08-17,Store_006,904,184,6856.28,3765.11,47.62,0.938
2025-08-17,Store_007,767,164,9667.81,4317.22,177.71,0.941
2025-08-17,Store_008,930,164,10468.07,5518.96,87.93,0.893
2025-08-17,Store_009,967,269,16140.88,9096.4,104.13,0.951
2025-08-17,Store_010,476,114,6887.17,3534.62,92.79,0.938
2025-08-17,Store_011,836,216,10448.47,4733.06,160.13,0.917
2025-08-17,Store_012,310,76,4591.22,2012.81,43.02,0.916
2025-08-17,Store_013,613,110,4325.54,2259.55,71.69,0.866
2025-08-17,Store_014,656,233,5369.17,2817.62,106.88,0.959
2025-08-17,Store_015,851,149,10718.74,6129.38,118.43,0.934
2025-08-17,Store_016,714,137,8208.88,3701.98,152.34,0.895
2025-08-17,Store_017,695,185,11930.91,5103.69,155.82,0.883
2025-08-17,Store_018,548,120,6147.09,3532.75,87.36,0.896
2025-08-17,Store_019,505,131,5650.57,2761.12,112.23,0.93
2025-08-17,Store_020,631,75,3467.02,1934.57,68.87,0.911
2025-08-18,Store_001,636,141,7779.2,3404.33,146.74,0.948
2025-08-18,Store_002,474,104,4858.48,2487.71,49.86,0.9
2025-08-18,Store_003,651,191,8435.45,4423.45,149.7,0.895
2025-08-18,Store_004,534,126,5934.31,2708.68,79.24,0.926
2025-08-18,Store_005,335,64,3986.19,1853.38,33.84,0.939
2025-08-18,Store_006,233,39,2131.01,1063.8,33.98,0.906
2025-08-18,Store_007,421,76,2118.75,1076.38,25.57,0.925
2025-08-18,Store_008,513,133,5962.51,2712.88,33.36,0.9
2025-08-18,Store_009,527,127,2286.0,1124.86,22.18,0.953
2025-08-18,Store_010,500,112,5503.29,3121.91,70.95,0.928
2025-08-18,Store_011,529,93,5360.76,3047.87,78.43,0.966
2025-08-18,Store_012,615,158,10889.82,4720.83,125.71,0.918
2025-08-18,Store_013,212,46,2178.81,974.64,22.59,0.972
2025-08-18,Store_014,518,87,4878.54,2211.03,35.3,0.926
2025-08-18,Store_015,592,75,3676.44,1999.95,49.85,0.908
2025-08-18,Store_016,493,172,8136.16,3565.13,74.53,0.945
2025-08-18,Store_017,702,162,9361.06,4935.36,49.63,0.887
2025-08-18,Store_018,379,74,5230.75,2675.69,91.52,0.854
2025-08-18,Store_019,597,155,10535.49,4824.5,63.26,0.885
2025-08-18,Store_020,587,123,8117.76,4521.47,153.88,0.892
2025-08-19,Store_001,426,98,5993.44,2852.25,70.48,0.908
2025-08-19,Store_002,247,69,4818.1,2527.58,36.54,0.919
2025-08-19,Store_003,376,64,3292.0,1457.03,25.86,0.896
2025-08-19,Store_004,412,83,5088.9,2232.92,56.92,0.907
2025-08-19,Store_005,462,132,6486.32,3066.1,99.89,0.904
2025-08-19,Store_006,117,28,1796.59,824.51,25.16,0.872
2025-08-19,Store_007,420,82,3472.35,1902.23,59.04,0.971
2025-08-19,Store_008,828,121,5221.16,2533.77,31.48,0.901
2025-08-19,Store_009,480,114,5542.61,2433.93,79.99,0.934
2025-08-19,Store_010,715,180,6720.37,3602.49,67.8,0.969
2025-08-19,Store_011,509,84,4714.85,2456.96,73.06,0.947
2025-08-19,Store_012,441,99,5888.43,3276.37,104.37,0.97
2025-08-19,Store_013,577,128,4336.4,2312.42,77.12,0.898
2025-08-19,Store_014,578,111,3753.21,1614.74,44.18,0.934
2025-08-19,Store_015,361,80,3325.76,1832.74,56.85,0.96
2025-08-19,Store_016,476,134,9666.93,4686.01,175.47,0.875
2025-08-19,Store_017,819,98,4336.26,2257.69,41.82,0.916
2025-08-19,Store_018,494,113,5506.76,2370.2,55.39,0.864
2025-08-19,Store_019,642,166,10820.39,5855.49,193.3,0.928
