store_id,region,store_format,open_date
Store_001,Southeast,Strip,2019-06-16
Store_002,West,Outlet,2023-11-05
Store_003,West,Urban,2018-02-09
Store_004,Southwest,Outlet,2018-04-26
Store_005,Southeast,Outlet,2024-10-22
Store_006,Midwest,Strip,2022-07-20
Store_007,Southwest,Mall,2021-05-12
Store_008,Southeast,Strip,2023-01-27
Store_009,Southwest,Mall,2019-07-08
Store_010,West,Outlet,2020-01-06
Store_011,Midwest,Outlet,2018-10-09
Store_012,Northeast,Mall,2023-09-08
Store_013,Northeast,Outlet,2020-08-17
Store_014,West,Urban,2018-05-14
Store_015,West,Mall,2023-05-23
Store_016,West,Strip,2024-07-14
Store_017,Midwest,Mall,2018-07-12
Store_018,Southeast,Urban,2019-06-30
Store_019,Northeast,Urban,2022-04-06
Store_020,Midwest,Strip,2022-06-19
