week_start,sku,on_hand_units,is_stockout,estimated_lost_sales
2025-08-18,SKU-10050,334,0,0.0
2025-08-18,SKU-10034,185,0,0.0
2025-08-18,SKU-10008,135,0,0.0
2025-08-18,SKU-10032,209,0,0.0
2025-08-18,SKU-10018,78,0,0.0
2025-08-18,SKU-10004,72,0,0.0
2025-08-18,SKU-10019,60,0,0.0
2025-08-18,SKU-10025,98,0,0.0
2025-08-18,SKU-10012,254,0,0.0
2025-08-18,SKU-10053,262,0,0.0
2025-08-18,SKU-10013,202,0,0.0
2025-08-18,SKU-10059,154,0,0.0
2025-08-18,SKU-10015,60,0,0.0
2025-08-18,SKU-10039,218,0,0.0
2025-08-18,SKU-10005,258,0,0.0
2025-08-18,SKU-10020,199,0,0.0
2025-08-18,SKU-10056,180,0,0.0
2025-08-18,SKU-10001,120,0,0.0
2025-08-18,SKU-10060,140,0,0.0
2025-08-18,SKU-10043,169,0,0.0
2025-08-18,SKU-10024,224,0,0.0
2025-08-18,SKU-10040,82,0,0.0
2025-08-18,SKU-10016,175,0,0.0
2025-08-18,SKU-10007,230,0,0.0
2025-08-18,SKU-10036,134,0,0.0
2025-08-18,SKU-10023,248,0,0.0
2025-08-18,SKU-10055,108,0,0.0
2025-08-18,SKU-10046,99,0,0.0
2025-08-18,SKU-10054,159,0,0.0
2025-08-18,SKU-10048,66,0,0.0
2025-08-18,SKU-10003,157,0,0.0
2025-08-18,SKU-10021,158,0,0.0
2025-08-18,SKU-10028,253,0,0.0
2025-08-18,SKU-10057,400,0,0.0
2025-08-18,SKU-10026,53,0,0.0
2025-08-18,SKU-10017,164,0,0.0
2025-08-18,SKU-10044,242,0,0.0
2025-08-18,SKU-10047,207,0,0.0
2025-08-18,SKU-10030,124,0,0.0
2025-08-18,SKU-10049,194,0,0.0
2025-08-18,SKU-10031,203,0,0.0
2025-08-18,SKU-10041,210,0,0.0
2025-08-18,SKU-10052,148,0,0.0
2025-08-18,SKU-10010,228,0,0.0
2025-08-18,SKU-10051,228,0,0.0
2025-08-25,SKU-10043,45,0,0.0
2025-08-25,SKU-10032,103,0,0.0
2025-08-25,SKU-10019,156,0,0.0
2025-08-25,SKU-10016,220,0,0.0
2025-08-25,SKU-10023,144,0,0.0
2025-08-25,SKU-10033,54,0,0.0
2025-08-25,SKU-10011,152,0,0.0
2025-08-25,SKU-10035,64,0,0.0
2025-08-25,SKU-10001,0,1,830.16
2025-08-25,SKU-10031,136,0,0.0
2025-08-25,SKU-10045,111,0,0.0
2025-08-25,SKU-10059,203,0,0.0
2025-08-25,SKU-10003,95,0,0.0
2025-08-25,SKU-10015,200,0,0.0
2025-08-25,SKU-10044,117,0,0.0
2025-08-25,SKU-10053,134,0,0.0
2025-08-25,SKU-10055,319,0,0.0
2025-08-25,SKU-10026,104,0,0.0
2025-08-25,SKU-10024,155,0,0.0
2025-08-25,SKU-10012,239,0,0.0
2025-08-25,SKU-10040,110,0,0.0
2025-08-25,SKU-10002,341,0,0.0
2025-08-25,SKU-10010,283,0,0.0
2025-08-25,SKU-10057,49,0,0.0
2025-08-25,SKU-10018,191,0,0.0
2025-08-25,SKU-10052,146,0,0.0
2025-08-25,SKU-10005,232,0,0.0
2025-08-25,SKU-10039,189,0,0.0
2025-08-25,SKU-10042,154,0,0.0
2025-08-25,SKU-10007,223,0,0.0
2025-08-25,SKU-10058,106,0,0.0
2025-08-25,SKU-10020,166,0,0.0
2025-08-25,SKU-10021,126,0,0.0
2025-08-25,SKU-10025,0,1,2778.16
2025-08-25,SKU-10006,106,0,0.0
2025-08-25,SKU-10038,247,0,0.0
2025-08-25,SKU-10056,159,0,0.0
2025-08-25,SKU-10054,263,0,0.0
2025-08-25,SKU-10050,261,0,0.0
2025-08-25,SKU-10029,256,0,0.0
2025-08-25,SKU-10034,230,0,0.0
2025-08-25,SKU-10022,244,0,0.0
2025-08-25,SKU-10009,255,0,0.0
2025-08-25,SKU-10041,262,0,0.0
2025-08-25,SKU-10048,229,0,0.0
2025-09-01,SKU-10012,201,0,0.0
2025-09-01,SKU-10011,108,0,0.0
2025-09-01,SKU-10034,184,0,0.0
2025-09-01,SKU-10030,100,0,0.0
2025-09-01,SKU-10029,133,0,0.0
2025-09-01,SKU-10021,170,0,0.0
2025-09-01,SKU-10031,161,0,0.0
2025-09-01,SKU-10017,226,0,0.0
2025-09-01,SKU-10046,248,0,0.0
2025-09-01,SKU-10033,158,0,0.0
2025-09-01,SKU-10002,151,0,0.0
2025-09-01,SKU-10022,22,0,0.0
2025-09-01,SKU-10053,176,0,0.0
2025-09-01,SKU-10050,122,0,0.0
2025-09-01,SKU-10001,45,0,0.0
2025-09-01,SKU-10037,271,0,0.0
2025-09-01,SKU-10007,225,0,0.0
2025-09-01,SKU-10049,80,0,0.0
2025-09-01,SKU-10024,271,0,0.0
2025-09-01,SKU-10006,160,0,0.0
2025-09-01,SKU-10054,57,0,0.0
2025-09-01,SKU-10059,67,0,0.0
2025-09-01,SKU-10042,164,0,0.0
2025-09-01,SKU-10043,243,0,0.0
2025-09-01,SKU-10014,154,0,0.0
2025-09-01,SKU-10025,240,0,0.0
2025-09-01,SKU-10009,190,0,0.0
2025-09-01,SKU-10004,198,0,0.0
