effective_date,sku,old_price,new_price,reason
2025-08-18,SKU-10054,148.0,142.85,Competitive match
2025-08-18,SKU-10055,150.8,156.03,Cost increase
2025-08-18,SKU-10014,149.95,157.04,Cost increase
2025-08-18,SKU-10053,74.09,80.01,Margin expansion
2025-08-18,SKU-10037,191.64,184.35,Competitive match
2025-08-18,SKU-10029,191.06,200.97,Clearance
2025-08-18,SKU-10008,48.77,47.69,Cost increase
2025-08-18,SKU-10031,127.8,136.87,Seasonal adjustment
2025-08-18,SKU-10060,192.01,194.11,Seasonal adjustment
2025-08-18,SKU-10025,50.98,51.2,Cost increase
2025-08-18,SKU-10050,153.75,152.19,Clearance
2025-08-18,SKU-10043,45.59,46.85,Clearance
2025-08-18,SKU-10036,92.2,99.44,Competitive match
2025-08-18,SKU-10013,132.41,129.85,Seasonal adjustment
2025-08-18,SKU-10035,186.4,186.13,Cost increase
2025-08-18,SKU-10024,77.43,79.21,Margin expansion
2025-08-18,SKU-10048,156.4,168.38,Seasonal adjustment
2025-08-18,SKU-10056,18.31,18.03,Margin expansion
2025-08-25,SKU-10041,176.57,185.18,Competitive match
2025-08-25,SKU-10007,206.91,208.47,Margin expansion
2025-08-25,SKU-10023,16.67,16.86,Cost increase
2025-08-25,SKU-10002,140.32,145.64,Seasonal adjustment
2025-08-25,SKU-10049,227.72,228.34,Seasonal adjustment
2025-08-25,SKU-10036,99.44,106.49,Clearance
2025-08-25,SKU-10038,61.23,61.08,Margin expansion
2025-08-25,SKU-10032,75.86,77.59,Seasonal adjustment
2025-08-25,SKU-10015,171.7,183.62,Cost increase
2025-08-25,SKU-10025,51.2,52.35,Seasonal adjustment
2025-08-25,SKU-10009,143.57,154.02,Cost increase
2025-08-25,SKU-10046,100.27,97.63,Margin expansion
2025-08-25,SKU-10050,152.19,146.4,Margin expansion
2025-08-25,SKU-10022,63.74,66.74,Clearance
2025-08-25,SKU-10018,136.52,147.16,Clearance
2025-08-25,SKU-10045,153.19,155.57,Clearance
2025-08-25,SKU-10051,43.56,44.52,Cost increase
2025-08-25,SKU-10048,168.38,166.86,Margin expansion
2025-09-01,SKU-10060,194.11,208.47,Competitive match
2025-09-01,SKU-10028,31.49,32.19,Clearance
2025-09-01,SKU-10019,167.27,168.26,Margin expansion
2025-09-01,SKU-10011,218.24,213.61,Cost increase
2025-09-01,SKU-10049,228.34,236.64,Clearance
2025-09-01,SKU-10051,44.52,43.81,Seasonal adjustment
2025-09-01,SKU-10056,18.03,18.5,Cost increase
2025-09-01,SKU-10046,97.63,100.77,Cost increase
2025-09-01,SKU-10027,187.56,195.61,Competitive match
2025-09-01,SKU-10045,155.57,162.12,Competitive match
2025-09-01,SKU-10003,129.12,135.23,Competitive match
2025-09-01,SKU-10025,52.35,55.39,Clearance
2025-09-01,SKU-10016,176.54,187.97,Competitive match
2025-09-01,SKU-10044,184.5,193.34,Cost increase
2025-09-01,SKU-10034,135.41,141.14,Margin expansion
2025-09-01,SKU-10059,34.68,36.57,Margin expansion
2025-09-01,SKU-10022,66.74,66.75,Competitive match
2025-09-01,SKU-10007,208.47,221.27,Cost increase
2025-09-08,SKU-10035,186.13,185.72,Margin expansion
2025-09-08,SKU-10006,51.49,51.16,Cost increase
2025-09-08,SKU-10050,146.4,158.0,Margin expansion
2025-09-08,SKU-10025,55.39,59.51,Cost increase
2025-09-08,SKU-10008,47.69,51.28,Margin expansion
2025-09-08,SKU-10005,15.34,15.18,Cost increase
2025-09-08,SKU-10024,79.21,75.95,Clearance
2025-09-08,SKU-10026,118.53,124.17,Seasonal adjustment
2025-09-08,SKU-10056,18.5,18.19,Clearance
2025-09-08,SKU-10031,136.87,145.2,Seasonal adjustment
2025-09-08,SKU-10007,221.27,230.87,Competitive match
2025-09-08,SKU-10009,154.02,160.03,Clearance
2025-09-08,SKU-10023,16.86,17.67,Competitive match
2025-09-08,SKU-10037,184.35,190.35,Competitive match
2025-09-08,SKU-10033,139.12,148.42,Clearance
2025-09-08,SKU-10047,143.74,146.28,Seasonal adjustment
2025-09-08,SKU-10013,129.85,138.02,Seasonal adjustment
2025-09-08,SKU-10040,167.05,179.13,Cost increase
2025-09-15,SKU-10023,17.67,18.33,Competitive match
2025-09-15,SKU-10028,32.19,31.58,Cost increase
2025-09-15,SKU-10021,139.14,144.53,Cost increase
2025-09-15,SKU-10043,46.85,50.0,Competitive match
2025-09-15,SKU-10004,156.05,151.12,Margin expansion
2025-09-15,SKU-10036,106.49,112.12,Clearance
2025-09-15,SKU-10038,61.08,61.49,Clearance
2025-09-15,SKU-10037,190.35,185.56,Cost increase
2025-09-15,SKU-10001,9.08,9.1,Cost increase
2025-09-15,SKU-10045,162.12,155.94,Margin expansion
2025-09-15,SKU-10057,221.18,211.17,Clearance
2025-09-15,SKU-10003,135.23,132.5,Cost increase
2025-09-15,SKU-10041,185.18,185.1,Competitive match
2025-09-15,SKU-10022,66.75,70.41,Margin expansion
2025-09-15,SKU-10026,124.17,125.7,Competitive match
2025-09-15,SKU-10046,100.77,102.58,Clearance
2025-09-15,SKU-10047,146.28,140.69,Seasonal adjustment
2025-09-15,SKU-10060,208.47,202.18,Margin expansion
2025-09-22,SKU-10044,193.34,199.41,Clearance
2025-09-22,SKU-10039,197.06,194.53,Competitive match
2025-09-22,SKU-10004,151.12,161.53,Cost increase
2025-09-22,SKU-10023,18.33,18.57,Margin expansion
2025-09-22,SKU-10046,102.58,109.59,Cost increase
2025-09-22,SKU-10035,185.72,184.28,Competitive match
2025-09-22,SKU-10016,187.97,193.41,Margin expansion
2025-09-22,SKU-10003,132.5,132.01,Competitive match
2025-09-22,SKU-10034,141.14,137.6,Clearance
2025-09-22,SKU-10001,9.1,8.79,Margin expansion
2025-09-22,SKU-10026,125.7,130.32,Cost increase
2025-09-22,SKU-10053,80.01,79.52,Cost increase
2025-09-22,SKU-10058,165.31,170.86,Seasonal adjustment
2025-09-22,SKU-10031,145.2,141.01,Cost increase
2025-09-22,SKU-10051,43.81,45.11,Competitive match
2025-09-22,SKU-10008,51.28,49.74,Clearance
2025-09-22,SKU-10030,26.66,27.56,Competitive match
2025-09-22,SKU-10017,212.47,224.67,Cost increase
2025-09-29,SKU-10052,164.54,163.7,Seasonal adjustment
2025-09-29,SKU-10018,147.16,144.49,Competitive match
2025-09-29,SKU-10058,170.86,172.2,Cost increase
2025-09-29,SKU-10011,213.61,208.35,Seasonal adjustment
2025-09-29,SKU-10055,156.03,166.61,Cost increase
2025-09-29,SKU-10004,161.53,171.46,Clearance
2025-09-29,SKU-10053,79.52,83.0,Cost increase
2025-09-29,SKU-10050,158.0,168.82,Cost increase
2025-09-29,SKU-10034,137.6,147.27,Seasonal adjustment
2025-09-29,SKU-10016,193.41,207.42,Cost increase
2025-09-29,SKU-10019,168.26,172.2,Competitive match
2025-09-29,SKU-10035,184.28,176.12,Competitive match
