date,sku,units,unit_price,revenue,cogs,price_type,channel
2025-08-15,SKU-10027,12,194.94,2339.28,756.36,Regular,Wholesale
2025-08-15,SKU-10023,23,16.73,384.79,180.32,Regular,Wholesale
2025-08-15,SKU-10016,3,184.25,552.75,265.56,Regular,Online
2025-08-15,SKU-10011,22,208.55,4588.1,1998.7,Regular,Wholesale
2025-08-15,SKU-10051,6,36.24,217.44,85.56,Promo,Retail
2025-08-15,SKU-10009,26,144.4,3754.4,1429.48,Regular,Online
2025-08-15,SKU-10060,10,200.47,2004.7,659.9,Regular,Wholesale
2025-08-15,SKU-10010,32,69.81,2233.92,987.2,Regular,Wholesale
2025-08-15,SKU-10032,27,73.36,1980.72,917.46,Regular,Online
2025-08-15,SKU-10021,27,134.81,3639.87,1487.7,Regular,Wholesale
2025-08-15,SKU-10005,18,15.59,280.62,117.18,Regular,Wholesale
2025-08-15,SKU-10049,13,201.94,2625.22,1229.93,Promo,Wholesale
2025-08-15,SKU-10035,22,189.7,4173.4,2027.52,Regular,Wholesale
2025-08-15,SKU-10036,16,89.37,1429.92,864.48,Regular,Wholesale
2025-08-15,SKU-10050,22,153.75,3382.5,1868.9,Regular,Retail
2025-08-15,SKU-10013,30,104.23,3126.9,1836.9,Promo,Wholesale
2025-08-15,SKU-10053,25,74.1,1852.5,943.25,Regular,Retail
2025-08-15,SKU-10019,15,160.39,2405.85,1109.25,Regular,Online
2025-08-15,SKU-10044,23,176.82,4066.86,2487.68,Regular,Online
2025-08-15,SKU-10002,28,145.61,4077.08,2204.44,Regular,Wholesale
2025-08-15,SKU-10006,24,46.87,1124.88,497.28,Promo,Wholesale
2025-08-15,SKU-10048,17,150.59,2560.03,908.31,Regular,Online
2025-08-15,SKU-10024,21,77.23,1621.83,539.7,Regular,Wholesale
2025-08-15,SKU-10033,13,114.79,1492.27,950.56,Promo,Wholesale
2025-08-15,SKU-10026,20,113.54,2270.8,1311.6,Regular,Online
2025-08-15,SKU-10037,18,194.55,3501.9,1652.4,Regular,Retail
2025-08-15,SKU-10043,26,46.9,1219.4,632.32,Regular,Wholesale
2025-08-15,SKU-10008,18,50.33,905.94,417.06,Regular,Retail
2025-08-15,SKU-10015,22,164.22,3612.84,1315.16,Regular,Online
2025-08-15,SKU-10034,29,139.49,4045.21,2262.29,Regular,Wholesale
2025-08-15,SKU-10017,14,188.57,2639.98,1197.84,Promo,Retail
2025-08-15,SKU-10031,25,124.6,3115.0,1560.75,Regular,Wholesale
2025-08-15,SKU-10045,31,155.59,4823.29,2838.67,Regular,Online
2025-08-15,SKU-10001,14,8.77,122.78,41.3,Regular,Wholesale
2025-08-15,SKU-10054,15,131.45,1971.75,829.05,Promo,Retail
2025-08-15,SKU-10003,9,131.91,1187.19,513.54,Regular,Online
2025-08-15,SKU-10042,22,204.95,4508.9,2053.92,Regular,Online
2025-08-15,SKU-10007,17,199.86,3397.62,1539.86,Regular,Retail
2025-08-15,SKU-10058,27,172.9,4668.3,2025.54,Regular,Online
2025-08-15,SKU-10046,34,97.56,3317.04,1859.12,Regular,Retail
2025-08-15,SKU-10055,11,150.37,1654.07,819.39,Regular,Wholesale
2025-08-15,SKU-10038,6,50.55,303.3,226.26,Promo,Online
2025-08-15,SKU-10022,17,66.21,1125.57,467.5,Regular,Retail
2025-08-15,SKU-10057,28,219.0,6132.0,3620.96,Regular,Retail
2025-08-16,SKU-10002,15,123.5,1852.5,1180.95,Promo,Online
2025-08-16,SKU-10014,16,154.62,2473.92,1364.16,Regular,Wholesale
